gene	coord	190plus1_CAST	190plus1_129S1	190plus1_total	190plus1_CAST/all	190plus1_htseqCount
0610007P14Rik	chr12:85824471-85824545	344	225	569	0.604569	1131
0610009B22Rik	chr11:51685385-51686092	13	13	26	0.5	164
0610009O20Rik	chr18:38261880-38262629	221	176	397	0.556675	556
0610010F05Rik	chr11:23593426-23593525	7	8	15	0.466667	218
0610030E20Rik	chr6:72348997-72353160	7	11	18	0.388889	167
0610031J06Rik	chr3:88328203-88328631	53	52	105	0.504762	738
0610037L13Rik	chr4:107896871-107897802	61	48	109	0.559633	299
0610039K10Rik	chr2:163644850-163645800	25	12	37	0.675676	6
0610040F04Rik	chr6:108623041-108623167	13	2	15	0.866667	75
1110001J03Rik	chr6:38539159-38539449	27	32	59	0.457627	95
1110002L01Rik	chr12:3403883-3406711	3	8	11	0.272727	111
1110004E09Rik	chr16:90934582-90934849	31	38	69	0.449275	296
1110004F10Rik	chr7:116104212-116105210	62	61	123	0.504065	792
1110007C09Rik	chr13:49208004-49208146	6	3	9	0.666667	42
1110008F13Rik	chr2:156873043-156873562	32	45	77	0.415584	627
1110008L16Rik	chr12:55382257-55382491	159	54	213	0.746479	618
1110012L19Rik	chrX:70388872-70389416	60	76	136	0.441176	298
1110034G24Rik	chr2:132750213-132751055	19	55	74	0.256757	87
1110037F02Rik	chr4:11549545-11551143	247	230	477	0.51782	927
1110038B12Rik	chr17:34952352-34952471	165	335	500	0.33	398
1110038F14Rik	chr15:76950249-76950731	104	93	197	0.527919	170
1110051M20Rik	chr2:91304749-91304833	29	19	48	0.604167	144
1110057K04Rik	chr12:8283900-8285759	77	69	146	0.527397	363
1110058L19Rik	chr1:24003157-24003306	49	19	68	0.720588	83
1110059E24Rik	chr19:21597313-21598334	21	15	36	0.583333	333
1110059G10Rik	chr9:122950805-122951000	2	6	8	0.25	88
1190002N15Rik	chr9:94537219-94538081	66	85	151	0.437086	396
1190005I06Rik	chr8:120611194-120611337	18	16	34	0.529412	74
1190007I07Rik	chr10:82622965-82623228	43	31	74	0.581081	171
1500004A13Rik	chr3:88822010-88825414	28	0	28	1	140
1500009L16Rik	chr10:83761918-83762762	44	43	87	0.505747	184
1500011B03Rik	chr5:114813780-114813976	38	36	74	0.513514	160
1500012F01Rik	chr2:167065434-167065480	89	63	152	0.585526	467
1600002H07Rik	chr17:24220691-24220769	67	73	140	0.478571	318
1600012H06Rik	chr17:14943184-14945939	7	9	16	0.4375	309
1600014C10Rik	chr7:38194785-38197565	20	44	64	0.3125	90
1600020E01Rik	chr6:86564276-86564449	13	8	21	0.619048	60
1700007K13Rik	chr2:28466034-28466324	9	27	36	0.25	115
1700007P06Rik	chr1:187127562-187127852	23	26	49	0.469388	32
1700017B05Rik	chr9:57256386-57259140	47	21	68	0.691176	353
1700019D03Rik	chr1:52952615-52952840	9	154	163	0.0552147	258
1700020I14Rik	chr2:119599588-119600744	22	14	36	0.611111	294
1700021F05Rik	chr10:43532676-43533157	94	84	178	0.52809	273
1700021K19Rik	chr16:32844547-32844706	52	37	89	0.58427	266
1700025G04Rik	chr1:151884524-151893432	14	7	21	0.666667	153
1700029P11Rik	chr15:81980540-81981563	85	181	266	0.319549	776
1700030C10Rik	chr12:20815346-20815779	33	86	119	0.277311	184
1700030K09Rik	chr8:72460029-72460541	72	61	133	0.541353	256
1700037H04Rik	chr2:131146325-131146975	98	47	145	0.675862	618
1700048O20Rik	chr9:121945611-121947016	13	0	13	1	14
1700052N19Rik	chr10:4453472-4455140	166	119	285	0.582456	456
1700061G19Rik	chr17:56886441-56886687	65	67	132	0.492424	519
1700066M21Rik	chr1:57382743-57385422	3	8	11	0.272727	178
1700095A21Rik	chr4:146519039-146519927	77	27	104	0.740385	67
1700120C14Rik	chr15:99251788-99252001	28	24	52	0.538462	3
1700123I01Rik	chr19:6223521-6224219	26	19	45	0.577778	77
1700123O20Rik	chr14:54689804-54690742	42	66	108	0.388889	263
1700128F08Rik	chr9:8241268-8241987	8	14	22	0.363636	21
1810009A15Rik	chr19:8890411-8890759	115	96	211	0.545024	47
1810013L24Rik	chr16:8855794-8858924	26	31	57	0.45614	638
1810026B05Rik	chr7:73549597-73549652	14	31	45	0.311111	145
1810026J23Rik	chr9:21593150-21595970	45	82	127	0.354331	333
1810030O07Rik	chrX:12669527-12669646	34	141	175	0.194286	484
1810032O08Rik	chr11:116674300-116675798	111	102	213	0.521127	251
1810037I17Rik	chr3:122925479-122926194	74	86	160	0.4625	379
1810043G02Rik	chr10:77984419-77985438	8	3	11	0.727273	42
1810043H04Rik	chr11:120100174-120100424	4	13	17	0.235294	70
1810055G02Rik	chr19:3716491-3717881	8	9	17	0.470588	159
1810058I24Rik	chr6:35261159-35262059	62	49	111	0.558559	378
2010012O05Rik	chr19:46701515-46703382	9	7	16	0.5625	47
2010107E04Rik	chr12:111963230-111963353	234	95	329	0.711246	1053
2010107G23Rik	chr10:62107656-62109123	32	11	43	0.744186	141
2010111I01Rik	chr13:63298712-63302877	8	19	27	0.296296	124
2010315B03Rik	chr9:124291804-124294101	0	49	49	0	114
2010320M18Rik	chr8:70776862-70777606	25	11	36	0.694444	75
2200002D01Rik	chr7:29247897-29247965	7	12	19	0.368421	52
2210015D19Rik	chr11:5783892-5784710	26	19	45	0.577778	77
2210016F16Rik	chr13:58384824-58385225	20	63	83	0.240964	229
2210016L21Rik	chr5:114947682-114948540	41	49	90	0.455556	245
2210018M11Rik	chr7:98626466-98626720	42	56	98	0.428571	384
2210039B01Rik	chr12:73551156-73551986	129	24	153	0.843137	61
2210409E12Rik	chr11:88972638-88973014	316	48	364	0.868132	367
2310003H01Rik	chr11:120376706-120377661	20	26	46	0.434783	204
2310009A05Rik	chr9:73042432-73042775	21	26	47	0.446809	36
2310011J03Rik	chr10:80320183-80320548	17	27	44	0.386364	195
2310014L17Rik	chr7:12927885-12931072	0	8	8	0	72
2310022A10Rik	chr7:27580337-27582098	96	79	175	0.548571	548
2310022B05Rik	chr8:124662848-124663369	209	28	237	0.881857	280
2310033P09Rik	chr11:59210227-59210734	10	12	22	0.454545	119
2310035C23Rik	chr1:105753503-105755131	31	27	58	0.534483	427
2310039H08Rik	chr17:46772635-46773407	6	6	12	0.5	64
2310045N01Rik	chr8:70145811-70145890	15	0	15	1	140
2310057M21Rik	chr7:131361733-131361936	5	5	10	0.5	114
2310061J03Rik	chr16:55973268-55974617	17	12	29	0.586207	28
2310067B10Rik	chr11:115798275-115799033	48	52	100	0.48	440
2410002F23Rik	chr7:44250613-44252319	128	144	272	0.470588	659
2410003L11Rik	chr11:97622607-97622893	21	71	92	0.228261	131
2410004N09Rik	chr18:33795853-33795989	121	134	255	0.47451	160
2410006H16Rik	chr11:62604655-62604806	369	471	840	0.439286	1124
2410007B07Rik	chr3:75655390-75655731	28	150	178	0.157303	312
2410015M20Rik	chr17:56608638-56608692	56	48	104	0.538462	349
2410016O06Rik	chr12:83950608-83952953	83	34	117	0.709402	349
2410021H03Rik	chr17:69277060-69277206	15	9	24	0.625	36
2410088K16Rik	chr1:88755534-88755733	64	68	132	0.484848	70
2410089E03Rik	chr15:8270679-8271158	66	88	154	0.428571	418
2410127L17Rik	chr19:18691417-18691595	69	70	139	0.496403	779
2410137M14Rik	chr17:36978651-36978933	9	36	45	0.2	119
2510002D24Rik	chr16:18839090-18840113	26	21	47	0.553191	91
2510003E04Rik	chr10:62577964-62578457	39	26	65	0.6	271
2510009E07Rik	chr16:21649045-21653758	4	8	12	0.333333	125
