gene	coord	87plus1_CAST	87plus1_129S1	87plus1_total	87plus1_CAST/all	87plus1_htseqCount
0610007P14Rik	chr12:85824471-85824545	435	189	624	0.697115	1387
0610009B22Rik	chr11:51685385-51686092	12	9	21	0.571429	156
0610009O20Rik	chr18:38261880-38262629	204	199	403	0.506203	526
0610010F05Rik	chr11:23631205-23631334	26	23	49	0.530612	234
0610030E20Rik	chr6:72348997-72353160	17	16	33	0.515152	164
0610031J06Rik	chr3:88328203-88328631	64	57	121	0.528926	744
0610037L13Rik	chr4:107896871-107897802	72	62	134	0.537313	403
0610039K10Rik	chr2:163644850-163645800	21	8	29	0.724138	5
1110001J03Rik	chr6:38539159-38539449	32	32	64	0.5	159
1110002L01Rik	chr12:3407701-3407924	5	42	47	0.106383	112
1110004E09Rik	chr16:90934582-90934849	33	22	55	0.6	266
1110004F10Rik	chr7:116104212-116105210	81	84	165	0.490909	967
1110008F13Rik	chr2:156873043-156873562	50	62	112	0.446429	728
1110008L16Rik	chr12:55382257-55382491	69	40	109	0.633028	412
1110012L19Rik	chrX:70388872-70389416	13	66	79	0.164557	173
1110034G24Rik	chr2:132750213-132751055	25	72	97	0.257732	99
1110037F02Rik	chr4:11549545-11551143	256	257	513	0.499025	1003
1110038B12Rik	chr17:34952352-34952471	254	414	668	0.38024	577
1110038F14Rik	chr15:76950249-76950731	121	95	216	0.560185	220
1110051M20Rik	chr2:91304749-91304833	12	28	40	0.3	159
1110057K04Rik	chr12:8283900-8285759	38	53	91	0.417582	249
1110058L19Rik	chr1:24003157-24003306	37	14	51	0.72549	74
1110059E24Rik	chr19:21597313-21598334	29	10	39	0.74359	430
1190002N15Rik	chr9:94517864-94520646	54	90	144	0.375	414
1190005I06Rik	chr8:120634268-120634382	10	34	44	0.227273	69
1190007I07Rik	chr10:82622965-82623228	37	42	79	0.468354	162
1300002E11Rik	chr16:21808678-21809039	6	6	12	0.5	84
1500004A13Rik	chr3:88822010-88825414	20	3	23	0.869565	130
1500009L16Rik	chr10:83761918-83762762	16	29	45	0.355556	101
1500011B03Rik	chr5:114813780-114813976	51	44	95	0.536842	177
1500012F01Rik	chr2:167065434-167065480	81	71	152	0.532895	464
1600002H07Rik	chr17:24220691-24220769	34	66	100	0.34	271
1600012H06Rik	chr17:14943184-14945939	5	7	12	0.416667	341
1600014C10Rik	chr7:38194785-38197565	27	38	65	0.415385	102
1600020E01Rik	chr6:86564276-86564449	9	13	22	0.409091	59
1700007K13Rik	chr2:28466034-28466324	14	13	27	0.518519	140
1700017B05Rik	chr9:57256386-57259140	31	24	55	0.563636	251
1700019D03Rik	chr1:52952615-52952840	4	95	99	0.040404	157
1700020I14Rik	chr2:119599588-119600744	12	11	23	0.521739	252
1700021F05Rik	chr10:43532676-43533157	78	63	141	0.553191	243
1700021K19Rik	chr16:32827288-32827352	41	45	86	0.476744	244
1700025G04Rik	chr1:151884524-151893432	37	8	45	0.822222	170
1700028K03Rik	chr5:107549085-107551542	5	6	11	0.454545	53
1700029P11Rik	chr15:81980540-81981563	30	72	102	0.294118	341
1700030C10Rik	chr12:20815346-20815779	14	42	56	0.25	82
1700030K09Rik	chr8:72460029-72460541	48	36	84	0.571429	165
1700037H04Rik	chr2:131146325-131146975	112	81	193	0.580311	626
1700052N19Rik	chr10:4453472-4455140	124	117	241	0.514523	383
1700061G19Rik	chr17:56886441-56886687	79	66	145	0.544828	497
1700066M21Rik	chr1:57382743-57385422	8	5	13	0.615385	136
1700094D03Rik	chr3:90065510-90068347	2	6	8	0.25	39
1700095A21Rik	chr4:146519039-146519927	41	1	42	0.97619	37
1700120C14Rik	chr15:99251788-99252001	26	32	58	0.448276	2
1700123O20Rik	chr14:54689804-54690742	49	48	97	0.505155	294
1810009A15Rik	chr19:8890411-8890759	126	114	240	0.525	56
1810013L24Rik	chr16:8855794-8858924	29	23	52	0.557692	609
1810024B03Rik	chr2:127208175-127208280	8	3	11	0.727273	9
1810026B05Rik	chr7:73549597-73549652	23	25	48	0.479167	146
1810026J23Rik	chr9:21593150-21595970	57	60	117	0.487179	363
1810030O07Rik	chrX:12669527-12669646	49	134	183	0.26776	448
1810032O08Rik	chr11:116674300-116675798	130	135	265	0.490566	341
1810037I17Rik	chr3:122925479-122926194	111	142	253	0.438735	680
1810043H04Rik	chr11:120100174-120100424	14	16	30	0.466667	105
1810055G02Rik	chr19:3716491-3717881	25	27	52	0.480769	217
1810058I24Rik	chr6:35261159-35262059	77	66	143	0.538462	485
2010012O05Rik	chr19:46701515-46703382	14	18	32	0.4375	77
2010107E04Rik	chr12:111963230-111963353	439	125	564	0.778369	1992
2010107G23Rik	chr10:62107656-62109123	13	3	16	0.8125	60
2010111I01Rik	chr13:63298712-63302877	10	16	26	0.384615	181
2010315B03Rik	chr9:124291804-124294101	3	24	27	0.111111	54
2010320M18Rik	chr8:70776862-70777606	9	12	21	0.428571	49
2200002D01Rik	chr7:29247897-29247965	3	7	10	0.3	44
2210013O21Rik	chrX:153723554-153723937	7	12	19	0.368421	201
2210015D19Rik	chr11:5783892-5784710	42	49	91	0.461538	73
2210016F16Rik	chr13:58384824-58385225	23	51	74	0.310811	245
2210016L21Rik	chr5:114947682-114948540	52	46	98	0.530612	397
2210018M11Rik	chr7:98626466-98626720	92	73	165	0.557576	490
2210039B01Rik	chr12:73551156-73551986	78	0	78	1	19
2210409E12Rik	chr11:88972638-88973014	372	60	432	0.861111	545
2310003H01Rik	chr11:120376706-120377661	41	58	99	0.414141	252
2310009A05Rik	chr9:73042432-73042775	21	38	59	0.355932	43
2310011J03Rik	chr10:80320183-80320548	18	67	85	0.211765	272
2310015A10Rik	chr12:80120546-80125126	10	6	16	0.625	80
2310022A10Rik	chr7:27580337-27582098	110	90	200	0.55	541
2310022B05Rik	chr8:124662848-124663369	115	56	171	0.672515	234
2310033P09Rik	chr11:59210227-59210734	8	8	16	0.5	156
2310035C23Rik	chr1:105753503-105755131	25	43	68	0.367647	444
2310039H08Rik	chr17:46772635-46773407	7	13	20	0.35	62
2310045N01Rik	chr8:70145811-70145890	7	5	12	0.583333	103
2310057M21Rik	chr7:131361733-131361936	7	9	16	0.4375	144
2310061J03Rik	chr16:55973268-55974617	8	4	12	0.666667	37
2310067B10Rik	chr11:115798275-115799033	26	47	73	0.356164	266
2410002F23Rik	chr7:44250613-44252319	217	175	392	0.553571	956
2410003L11Rik	chr11:97622607-97622893	24	81	105	0.228571	150
2410004B18Rik	chr3:145938032-145938328	11	6	17	0.647059	147
2410004N09Rik	chr18:33795853-33795989	138	144	282	0.489362	190
