gene	coord	87minus2_CAST	87minus2_129S1	87minus2_total	87minus2_CAST/all	87minus2_htseqCount
0610007P14Rik	chr12:85824471-85824545	408	201	609	0.669951	1032
0610009B22Rik	chr11:51685385-51686092	9	15	24	0.375	111
0610009O20Rik	chr18:38261880-38262629	119	85	204	0.583333	243
0610010F05Rik	chr11:23628873-23629031	14	26	40	0.35	144
0610031J06Rik	chr3:88328203-88328631	36	43	79	0.455696	347
0610037L13Rik	chr4:107896871-107897802	70	51	121	0.578512	293
0610039K10Rik	chr2:163644850-163645800	5	5	10	0.5	2
1110001J03Rik	chr6:38539159-38539449	27	32	59	0.457627	96
1110004E09Rik	chr16:90934582-90934849	32	28	60	0.533333	227
1110004F10Rik	chr7:116104212-116105210	57	62	119	0.478992	663
1110008F13Rik	chr2:156873043-156873562	57	52	109	0.522936	589
1110008L16Rik	chr12:55382257-55382491	51	40	91	0.56044	194
1110012L19Rik	chrX:70388872-70389416	66	28	94	0.702128	190
1110032A03Rik	chr9:50767858-50768152	3	13	16	0.1875	14
1110034G24Rik	chr2:132750213-132751055	31	43	74	0.418919	72
1110037F02Rik	chr4:11549545-11551143	65	104	169	0.384615	349
1110038B12Rik	chr17:34952352-34952471	171	267	438	0.390411	374
1110038F14Rik	chr15:76950249-76950731	58	83	141	0.411348	145
1110051M20Rik	chr2:91304749-91304833	25	15	40	0.625	85
1110057K04Rik	chr12:8283900-8285759	27	42	69	0.391304	150
1110058L19Rik	chr1:24003157-24003306	51	32	83	0.614458	86
1110059E24Rik	chr19:21597313-21598334	27	31	58	0.465517	383
1190002N15Rik	chr9:94537219-94538081	50	50	100	0.5	182
1190005I06Rik	chr8:120611194-120611337	2	11	13	0.153846	40
1190007I07Rik	chr10:82622965-82623228	33	46	79	0.417722	149
1300002E11Rik	chr16:21808678-21809039	6	15	21	0.285714	46
1500004A13Rik	chr3:88822010-88825414	13	2	15	0.866667	69
1500011B03Rik	chr5:114813780-114813976	48	29	77	0.623377	109
1500012F01Rik	chr2:167065434-167065480	64	55	119	0.537815	366
1600002H07Rik	chr17:24220691-24220769	28	42	70	0.4	160
1600012H06Rik	chr17:14943184-14945939	3	6	9	0.333333	195
1600014C10Rik	chr7:38194785-38197565	7	19	26	0.269231	50
1600020E01Rik	chr6:86564276-86564449	7	6	13	0.538462	34
1700007J10Rik	chr11:59733795-59734216	5	4	9	0.555556	42
1700007K13Rik	chr2:28466034-28466324	9	17	26	0.346154	88
1700013H16Rik	chrX:53751510-53751856	31	13	44	0.704545	125
1700017B05Rik	chr9:57256386-57259140	9	3	12	0.75	127
