gene	coord	86plus1_CAST	86plus1_129S1	86plus1_total	86plus1_CAST/all	86plus1_htseqCount
0610007P14Rik	chr12:85824471-85824545	194	80	274	0.708029	487
0610009B22Rik	chr11:51685385-51686092	10	4	14	0.714286	65
0610009O20Rik	chr18:38261880-38262629	80	70	150	0.533333	210
0610031J06Rik	chr3:88328203-88328631	27	34	61	0.442623	323
0610037L13Rik	chr4:107896871-107897802	35	27	62	0.564516	158
0610040F04Rik	chr6:108623041-108623167	7	3	10	0.7	34
1110001J03Rik	chr6:38539159-38539449	17	12	29	0.586207	54
1110004E09Rik	chr16:90934582-90934849	23	14	37	0.621622	113
1110004F10Rik	chr7:116104212-116105210	38	35	73	0.520548	429
1110008F13Rik	chr2:156873043-156873562	21	20	41	0.512195	263
1110008L16Rik	chr12:55382257-55382491	96	31	127	0.755906	272
1110012L19Rik	chrX:70388872-70389416	24	40	64	0.375	123
1110034G24Rik	chr2:132750213-132751055	5	12	17	0.294118	34
1110037F02Rik	chr4:11549545-11551143	106	84	190	0.557895	344
1110038B12Rik	chr17:34952352-34952471	153	201	354	0.432203	268
1110038F14Rik	chr15:76950249-76950731	49	59	108	0.453704	72
1110057K04Rik	chr12:8283900-8285759	20	24	44	0.454545	108
1110059E24Rik	chr19:21597313-21598334	14	15	29	0.482759	168
1190002N15Rik	chr9:94537219-94538081	58	64	122	0.47541	183
1190005I06Rik	chr8:120611194-120611337	6	5	11	0.545455	21
1190007I07Rik	chr10:82622965-82623228	8	11	19	0.421053	61
1500009L16Rik	chr10:83761918-83762762	11	9	20	0.55	46
1500011B03Rik	chr5:114813780-114813976	9	6	15	0.6	54
1500012F01Rik	chr2:167065434-167065480	69	39	108	0.638889	329
1600002H07Rik	chr17:24219731-24220133	22	26	48	0.458333	97
1600012H06Rik	chr17:14943184-14945939	7	7	14	0.5	161
1600014C10Rik	chr7:38194785-38197565	8	4	12	0.666667	47
1600020E01Rik	chr6:86564276-86564449	12	15	27	0.444444	36
1700007K13Rik	chr2:28466034-28466324	4	14	18	0.222222	56
1700017B05Rik	chr9:57256386-57259140	17	7	24	0.708333	135
1700019D03Rik	chr1:52952615-52952840	3	60	63	0.047619	92
1700020I14Rik	chr2:119599588-119600744	12	10	22	0.545455	118
1700021F05Rik	chr10:43532676-43533157	63	32	95	0.663158	112
1700029P11Rik	chr15:81980540-81981563	35	93	128	0.273438	305
1700030C10Rik	chr12:20815346-20815779	15	70	85	0.176471	85
1700030K09Rik	chr8:72460029-72460541	20	17	37	0.540541	91
1700037H04Rik	chr2:131146325-131146975	47	29	76	0.618421	240
1700052N19Rik	chr10:4453472-4455140	74	43	117	0.632479	165
1700061G19Rik	chr17:56886441-56886687	25	35	60	0.416667	195
1700066M21Rik	chr1:57382743-57385422	5	5	10	0.5	68
1700095A21Rik	chr4:146519039-146519927	27	2	29	0.931034	17
1700120C14Rik	chr15:99251788-99252001	10	5	15	0.666667	1
1700123O20Rik	chr14:54689804-54690742	30	24	54	0.555556	134
1700128F08Rik	chr9:8241268-8241987	5	3	8	0.625	6
1810009A15Rik	chr19:8890411-8890759	48	44	92	0.521739	12
1810013L24Rik	chr16:8855794-8858924	20	4	24	0.833333	300
1810026B05Rik	chr7:73549597-73549652	6	24	30	0.2	76
1810026J23Rik	chr9:21593150-21595970	19	26	45	0.422222	148
1810030O07Rik	chrX:12669527-12669646	15	83	98	0.153061	197
1810032O08Rik	chr11:116674300-116675798	66	53	119	0.554622	144
1810037I17Rik	chr3:122925479-122926194	42	59	101	0.415842	230
1810055G02Rik	chr19:3716491-3717881	9	8	17	0.529412	72
1810058I24Rik	chr6:35261159-35262059	24	25	49	0.489796	184
2010107E04Rik	chr12:111963230-111963353	143	56	199	0.718593	553
2010111I01Rik	chr13:63298712-63302877	10	15	25	0.4	65
2010320M18Rik	chr8:70776862-70777606	5	5	10	0.5	34
2210015D19Rik	chr11:5780206-5780635	27	25	52	0.519231	32
2210016F16Rik	chr13:58384824-58385225	13	19	32	0.40625	110
2210016L21Rik	chr5:114947682-114948540	22	24	46	0.478261	135
2210018M11Rik	chr7:98594752-98595312	40	38	78	0.512821	156
2210039B01Rik	chr12:73551156-73551986	82	19	101	0.811881	40
2210409E12Rik	chr11:88972638-88973014	206	35	241	0.854772	226
2310003H01Rik	chr11:120373882-120374651	8	10	18	0.444444	99
2310009A05Rik	chr9:73042432-73042775	14	4	18	0.777778	16
2310011J03Rik	chr10:80320183-80320548	20	20	40	0.5	105
2310022A10Rik	chr7:27580337-27582098	33	40	73	0.452055	226
2310022B05Rik	chr8:124662848-124663369	145	22	167	0.868263	187
2310033P09Rik	chr11:59210227-59210734	7	7	14	0.5	78
2310035C23Rik	chr1:105753503-105755131	3	7	10	0.3	197
2310045N01Rik	chr8:70145811-70145890	8	5	13	0.615385	69
2310067B10Rik	chr11:115798275-115799033	5	6	11	0.454545	143
2410002F23Rik	chr7:44250613-44252319	115	118	233	0.493562	407
2410003L11Rik	chr11:97622607-97622893	5	38	43	0.116279	69
2410004N09Rik	chr18:33795853-33795989	111	103	214	0.518692	103
2410006H16Rik	chr11:62604655-62604806	224	302	526	0.425856	620
2410007B07Rik	chr3:75655390-75655731	14	87	101	0.138614	177
2410015M20Rik	chr17:56608638-56608692	28	23	51	0.54902	123
2410016O06Rik	chr12:83950608-83952953	45	26	71	0.633803	189
2410088K16Rik	chr1:88755534-88755733	26	29	55	0.472727	38
2410089E03Rik	chr15:8270679-8271158	13	19	32	0.40625	183
2410127L17Rik	chr19:18691417-18691595	41	33	74	0.554054	297
2410137M14Rik	chr17:36978651-36978933	2	9	11	0.181818	60
2510002D24Rik	chr16:18839090-18840113	8	6	14	0.571429	32
2510003E04Rik	chr10:62558470-62559883	12	11	23	0.521739	111
2510009E07Rik	chr16:21649045-21653758	9	15	24	0.375	94
2510039O18Rik	chr4:147946601-147947314	65	70	135	0.481481	244
2610001J05Rik	chr6:13869074-13870740	20	19	39	0.512821	70
2610002J02Rik	chr4:155256135-155256687	13	8	21	0.619048	46
2610301B20Rik	chr4:10897899-10899423	48	47	95	0.505263	104
2610305D13Rik	chr4:147615280-147615406	116	26	142	0.816901	1472
2610318N02Rik	chr16:17113398-17113626	8	2	10	0.8	80
2610507B11Rik	chr11:78289804-78290625	259	230	489	0.529652	1640
2610524H06Rik	chr5:114823313-114823468	34	99	133	0.255639	86
2700029M09Rik	chr8:60905548-60905720	60	40	100	0.6	231
2700038G22Rik	chr5:23853767-23855033	17	40	57	0.298246	57
2700049A03Rik	chr12:71242944-71243303	14	14	28	0.5	128
2700060E02Rik	chr14:19822566-19822690	131	131	262	0.5	1226
2700062C07Rik	chr18:24477269-24477767	9	12	21	0.428571	84
2700099C18Rik	chr17:94774892-94775129	4	19	23	0.173913	66
2810004N23Rik	chr8:124860946-124861271	267	107	374	0.713904	353
2810008D09Rik	chr11:117078776-117078955	87	101	188	0.462766	73
2810025M15Rik	chr1:157419869-157420236	62	59	121	0.512397	227
2810403A07Rik	chr3:88711630-88712933	25	18	43	0.581395	288
2810408M09Rik	chr2:165490112-165491711	36	24	60	0.6	54
2810428I15Rik	chr8:70506662-70506739	20	9	29	0.689655	165
2810474O19Rik	chr6:149334592-149335663	47	59	106	0.443396	666
