gene	coord	109plus1_CAST	109plus1_129S1	109plus1_total	109plus1_CAST/all	109plus1_htseqCount
0610007P14Rik	chr12:85824471-85824545	336	228	564	0.595745	1240
0610009B22Rik	chr11:51685385-51686092	13	12	25	0.52	199
0610009O20Rik	chr18:38261880-38262629	235	256	491	0.478615	739
0610010F05Rik	chr11:23628873-23629031	35	27	62	0.564516	249
0610030E20Rik	chr6:72348997-72353160	19	30	49	0.387755	236
0610031J06Rik	chr3:88328203-88328631	62	62	124	0.5	850
0610037L13Rik	chr4:107896871-107897802	90	80	170	0.529412	422
0610039K10Rik	chr2:163644850-163645800	19	8	27	0.703704	6
0610040F04Rik	chr6:108623041-108623167	8	1	9	0.888889	69
1110001J03Rik	chr6:38539159-38539449	29	19	48	0.604167	130
1110002L01Rik	chr12:3407701-3407924	3	10	13	0.230769	162
1110004E09Rik	chr16:90934582-90934849	45	37	82	0.54878	347
1110004F10Rik	chr7:116104212-116105210	101	100	201	0.502488	1253
1110007C09Rik	chr13:49208004-49208146	6	4	10	0.6	40
1110008F13Rik	chr2:156873043-156873562	63	70	133	0.473684	833
1110008L16Rik	chr12:55382257-55382491	235	76	311	0.755627	911
1110012L19Rik	chrX:70388872-70389416	41	77	118	0.347458	239
1110034G24Rik	chr2:132750213-132751055	36	69	105	0.342857	124
1110037F02Rik	chr4:11549545-11551143	313	354	667	0.469265	1209
1110038B12Rik	chr17:34952352-34952471	385	567	952	0.404412	801
1110038F14Rik	chr15:76950249-76950731	174	144	318	0.54717	295
1110051M20Rik	chr2:91304749-91304833	24	22	46	0.521739	167
1110057K04Rik	chr12:8283900-8285759	94	69	163	0.576687	444
1110058L19Rik	chr1:24003157-24003306	35	12	47	0.744681	88
1110059E24Rik	chr19:21597313-21598334	27	19	46	0.586957	484
1110059G10Rik	chr9:122950805-122951000	4	4	8	0.5	109
1190002N15Rik	chr9:94537219-94538081	138	141	279	0.494624	622
1190005I06Rik	chr8:120634268-120634382	31	37	68	0.455882	123
1190007I07Rik	chr10:82622965-82623228	36	50	86	0.418605	186
1500004A13Rik	chr3:88822010-88825414	36	5	41	0.878049	222
1500009L16Rik	chr10:83761918-83762762	57	60	117	0.487179	233
1500011B03Rik	chr5:114813780-114813976	61	56	117	0.521368	220
1500012F01Rik	chr2:167065434-167065480	123	91	214	0.574766	811
1500015A07Rik	chr18:61726390-61728253	4	9	13	0.307692	79
1600002H07Rik	chr17:24220691-24220769	71	77	148	0.47973	336
1600012H06Rik	chr17:14943184-14945939	13	9	22	0.590909	467
1600014C10Rik	chr7:38194785-38197565	24	37	61	0.393443	89
1600020E01Rik	chr6:86564276-86564449	28	26	54	0.518519	112
1700007K13Rik	chr2:28466034-28466324	23	26	49	0.469388	166
1700007P06Rik	chr1:187127562-187127852	25	25	50	0.5	35
1700017B05Rik	chr9:57256386-57259140	55	41	96	0.572917	458
1700019D03Rik	chr1:52952615-52952840	21	218	239	0.0878661	305
1700020I14Rik	chr2:119599588-119600744	17	18	35	0.485714	371
1700021F05Rik	chr10:43532676-43533157	81	94	175	0.462857	284
1700021K19Rik	chr16:32847830-32847989	78	50	128	0.609375	295
1700025G04Rik	chr1:152006545-152006767	38	12	50	0.76	185
1700028K03Rik	chr5:107549085-107551542	5	3	8	0.625	54
1700029P11Rik	chr15:81980540-81981563	93	193	286	0.325175	799
1700030C10Rik	chr12:20815346-20815779	50	198	248	0.201613	293
1700030K09Rik	chr8:72460029-72460541	132	52	184	0.717391	320
1700037H04Rik	chr2:131146325-131146975	157	82	239	0.656904	777
1700048O20Rik	chr9:121945611-121947016	18	0	18	1	17
1700052K11Rik	chr11:105179021-105181433	4	6	10	0.4	35
1700052N19Rik	chr10:4453472-4455140	156	143	299	0.521739	489
1700061G19Rik	chr17:56886441-56886687	73	110	183	0.398907	695
1700066M21Rik	chr1:57382743-57385422	14	39	53	0.264151	151
1700095A21Rik	chr4:146519039-146519927	81	44	125	0.648	101
1700101E01Rik	chr2:28984296-28984521	3	7	10	0.3	53
1700120C14Rik	chr15:99251788-99252001	30	45	75	0.4	4
1700123O20Rik	chr14:54689804-54690742	58	66	124	0.467742	416
1700128F08Rik	chr9:8241268-8241987	8	20	28	0.285714	25
1810009A15Rik	chr19:8890411-8890759	155	129	284	0.545775	59
1810013L24Rik	chr16:8855794-8858924	54	38	92	0.586957	836
1810026B05Rik	chr7:73549597-73549652	28	29	57	0.491228	221
1810026J23Rik	chr9:21593150-21595970	75	94	169	0.443787	485
1810030O07Rik	chrX:12669527-12669646	34	170	204	0.166667	654
1810032O08Rik	chr11:116674300-116675798	174	176	350	0.497143	416
1810037I17Rik	chr3:122925479-122926194	109	162	271	0.402214	624
1810043G02Rik	chr10:77984419-77985438	10	11	21	0.47619	80
1810043H04Rik	chr11:120100174-120100424	12	17	29	0.413793	95
1810055G02Rik	chr19:3716491-3717881	28	29	57	0.491228	217
1810058I24Rik	chr6:35261159-35262059	119	102	221	0.538462	663
2010012O05Rik	chr19:46701515-46703382	11	12	23	0.478261	90
2010107E04Rik	chr12:111963230-111963353	311	142	453	0.686534	1444
2010107G23Rik	chr10:62107656-62109123	33	2	35	0.942857	89
2010111I01Rik	chr13:63298712-63302877	32	27	59	0.542373	248
2010315B03Rik	chr9:124291804-124294101	8	56	64	0.125	138
2010320M18Rik	chr8:70776862-70777606	31	16	47	0.659574	108
2210013O21Rik	chrX:153723554-153723937	10	0	10	1	58
2210015D19Rik	chr11:5780206-5780635	39	59	98	0.397959	101
2210016F16Rik	chr13:58384824-58385225	27	53	80	0.3375	275
2210016L21Rik	chr5:114947682-114948540	80	49	129	0.620155	411
2210018M11Rik	chr7:98626466-98626720	65	99	164	0.396341	532
2210039B01Rik	chr12:73551156-73551986	119	29	148	0.804054	76
2210404O09Rik	chr17:21908049-21908196	12	14	26	0.461538	138
2210409E12Rik	chr11:88972638-88973014	467	87	554	0.84296	576
2310003H01Rik	chr11:120378542-120378746	68	75	143	0.475524	346
2310009A05Rik	chr9:73042432-73042775	39	44	83	0.46988	66
2310011J03Rik	chr10:80320183-80320548	25	46	71	0.352113	295
2310022A10Rik	chr7:27580337-27582098	125	131	256	0.488281	731
2310022B05Rik	chr8:124662848-124663369	298	61	359	0.830084	390
2310033P09Rik	chr11:59210227-59210734	11	17	28	0.392857	181
2310035C23Rik	chr1:105753503-105755131	24	35	59	0.40678	660
2310039H08Rik	chr17:46772635-46773407	6	7	13	0.461538	63
2310039L15Rik	chr10:95336276-95336555	0	13	13	0	178
2310045N01Rik	chr8:70145811-70145890	12	5	17	0.705882	172
2310057M21Rik	chr7:131361733-131361936	4	5	9	0.444444	162
2310067B10Rik	chr11:115798275-115799033	51	59	110	0.463636	461
2410002F23Rik	chr7:44250613-44252319	287	312	599	0.479132	1461
2410003L11Rik	chr11:97622607-97622893	27	95	122	0.221311	202
2410004B18Rik	chr3:145938032-145938328	6	5	11	0.545455	158
2410004N09Rik	chr18:33795853-33795989	178	197	375	0.474667	232
2410006H16Rik	chr11:62604655-62604806	325	457	782	0.415601	989
2410007B07Rik	chr3:75655390-75655731	48	274	322	0.149068	547
2410015M20Rik	chr17:56608638-56608692	68	62	130	0.523077	415
2410016O06Rik	chr12:83950608-83952953	159	48	207	0.768116	564
2410021H03Rik	chr17:69277060-69277206	9	4	13	0.692308	26
2410088K16Rik	chr1:88755534-88755733	43	42	85	0.505882	66
2410089E03Rik	chr15:8270679-8271158	108	144	252	0.428571	604
2410127L17Rik	chr19:18691417-18691595	101	100	201	0.502488	1192
2410131K14Rik	chr5:118261100-118263114	23	38	61	0.377049	118
2410137M14Rik	chr17:36978651-36978933	5	37	42	0.119048	111
2510002D24Rik	chr16:18839090-18840113	31	52	83	0.373494	100
2510003E04Rik	chr10:62577964-62578457	50	51	101	0.49505	382
2510039O18Rik	chr4:147946601-147947314	177	164	341	0.519062	737
2610001J05Rik	chr6:13869074-13870740	53	84	137	0.386861	142
2610002J02Rik	chr4:155256135-155256687	71	50	121	0.586777	124
2610015P09Rik	chr16:43963268-43964314	14	21	35	0.4	175
2610027K06Rik	chr11:85801789-85802013	5	4	9	0.555556	25
2610044O15Rik8	chr8:129216354-129217749	10	9	19	0.526316	205
2610301B20Rik	chr4:10897899-10899423	72	126	198	0.363636	225
2610305D13Rik	chr4:147615280-147615406	303	71	374	0.81016	5438
2610318N02Rik	chr16:17113398-17113626	15	7	22	0.681818	428
2610507B11Rik	chr11:78289804-78290625	695	643	1338	0.519432	5706
2610524H06Rik	chr5:114823313-114823468	92	152	244	0.377049	288
2700029M09Rik	chr8:60905548-60905720	109	83	192	0.567708	592
2700038G22Rik	chr5:23853767-23855033	79	170	249	0.317269	208
2700049A03Rik	chr12:71242944-71243303	196	113	309	0.634304	560
