gene	coord	87plus2_CAST	87plus2_129S1	87plus2_total	87plus2_CAST/all	87plus2_htseqCount
0610007P14Rik	chr12:85824471-85824545	413	156	569	0.725835	846
0610009B22Rik	chr11:51685385-51686092	13	8	21	0.619048	139
0610009O20Rik	chr18:38261880-38262629	154	97	251	0.613546	274
0610010F05Rik	chr11:23617138-23617196	3	7	10	0.3	129
0610030E20Rik	chr6:72348997-72353160	7	8	15	0.466667	106
0610031J06Rik	chr3:88328203-88328631	41	42	83	0.493976	391
0610037L13Rik	chr4:107896871-107897802	44	40	84	0.52381	221
0610039K10Rik	chr2:163644850-163645800	8	7	15	0.533333	0
1110001J03Rik	chr6:38539159-38539449	24	32	56	0.428571	89
1110004E09Rik	chr16:90934582-90934849	23	28	51	0.45098	159
1110004F10Rik	chr7:116104212-116105210	66	67	133	0.496241	771
1110008F13Rik	chr2:156873043-156873562	28	36	64	0.4375	449
1110008L16Rik	chr12:55382257-55382491	58	41	99	0.585859	224
1110012L19Rik	chrX:70388872-70389416	41	53	94	0.43617	184
1110032A03Rik	chr9:50767858-50768152	5	15	20	0.25	18
1110034G24Rik	chr2:132750213-132751055	25	42	67	0.373134	63
1110037F02Rik	chr4:11549545-11551143	182	170	352	0.517045	529
1110038B12Rik	chr17:34952352-34952471	247	439	686	0.360058	511
1110038F14Rik	chr15:76950249-76950731	74	63	137	0.540146	107
1110051M20Rik	chr2:91279190-91279253	9	10	19	0.473684	69
1110057K04Rik	chr12:8283900-8285759	19	21	40	0.475	116
1110058L19Rik	chr1:24003157-24003306	51	19	70	0.728571	66
1110059E24Rik	chr19:21597313-21598334	38	17	55	0.690909	486
1190002N15Rik	chr9:94537219-94538081	28	37	65	0.430769	221
1190005I06Rik	chr8:120634268-120634382	2	8	10	0.2	20
1190007I07Rik	chr10:82622965-82623228	32	35	67	0.477612	122
1500004A13Rik	chr3:88822010-88825414	16	3	19	0.842105	70
1500009L16Rik	chr10:83761918-83762762	10	19	29	0.344828	52
1500011B03Rik	chr5:114813780-114813976	36	44	80	0.45	116
