gene	coord	86plus2_CAST	86plus2_129S1	86plus2_total	86plus2_CAST/all	86plus2_htseqCount
0610007P14Rik	chr12:85824471-85824545	261	151	412	0.633495	905
0610009B22Rik	chr11:51685385-51686092	10	5	15	0.666667	109
0610009O20Rik	chr18:38261880-38262629	157	138	295	0.532203	409
0610010F05Rik	chr11:23628873-23629031	17	19	36	0.472222	179
0610030E20Rik	chr6:72348997-72353160	14	16	30	0.466667	159
0610031J06Rik	chr3:88328203-88328631	60	61	121	0.495868	621
0610037L13Rik	chr4:107896871-107897802	48	65	113	0.424779	340
0610039K10Rik	chr2:163644850-163645800	19	8	27	0.703704	3
0610040F04Rik	chr6:108623041-108623167	6	4	10	0.6	44
1110001J03Rik	chr6:38539159-38539449	15	26	41	0.365854	109
1110004E09Rik	chr16:90934582-90934849	24	39	63	0.380952	245
1110004F10Rik	chr7:116104212-116105210	66	64	130	0.507692	813
1110008F13Rik	chr2:156873043-156873562	55	52	107	0.514019	606
1110008L16Rik	chr12:55382257-55382491	147	60	207	0.710145	622
1110012L19Rik	chrX:70388872-70389416	40	50	90	0.444444	241
1110034G24Rik	chr2:132750213-132751055	14	33	47	0.297872	57
1110037F02Rik	chr4:11549545-11551143	160	153	313	0.511182	682
1110038B12Rik	chr17:34952352-34952471	297	577	874	0.339817	653
1110038F14Rik	chr15:76950249-76950731	88	74	162	0.54321	158
1110051M20Rik	chr2:91304749-91304833	16	16	32	0.5	113
1110057K04Rik	chr12:8283900-8285759	23	31	54	0.425926	183
1110058L19Rik	chr1:24003157-24003306	41	12	53	0.773585	70
1110059E24Rik	chr19:21597313-21598334	34	30	64	0.53125	424
1190002N15Rik	chr9:94537219-94538081	69	88	157	0.43949	447
1190005I06Rik	chr8:120628472-120628517	12	12	24	0.5	43
1190007I07Rik	chr10:82622965-82623228	33	31	64	0.515625	154
1500004A13Rik	chr3:88822010-88825414	13	4	17	0.764706	115
1500009L16Rik	chr10:83761918-83762762	28	36	64	0.4375	128
1500011B03Rik	chr5:114813780-114813976	39	39	78	0.5	138
1500012F01Rik	chr2:167065434-167065480	190	92	282	0.673759	915
1600002H07Rik	chr17:24220691-24220769	42	52	94	0.446809	218
1600012H06Rik	chr17:14943184-14945939	15	13	28	0.535714	319
1600014C10Rik	chr7:38194785-38197565	13	21	34	0.382353	79
1600020E01Rik	chr6:86564276-86564449	17	12	29	0.586207	75
1700007K13Rik	chr2:28466034-28466324	9	18	27	0.333333	123
1700007L15Rik	chr16:33380516-33380736	10	0	10	1	25
1700007P06Rik	chr1:187127562-187127852	18	18	36	0.5	21
1700017B05Rik	chr9:57256386-57259140	35	24	59	0.59322	224
1700019D03Rik	chr1:52952615-52952840	17	88	105	0.161905	142
1700019L03Rik	chr2:32777413-32777569	7	1	8	0.875	32
1700020I14Rik	chr2:119599588-119600744	10	10	20	0.5	225
1700021F05Rik	chr10:43532676-43533157	82	47	129	0.635659	212
1700028K03Rik	chr5:107549085-107551542	5	3	8	0.625	48
1700029P11Rik	chr15:81980540-81981563	59	164	223	0.264574	705
1700030C10Rik	chr12:20815346-20815779	50	106	156	0.320513	162
1700030K09Rik	chr8:72460029-72460541	47	24	71	0.661972	187
1700037H04Rik	chr2:131146325-131146975	78	43	121	0.644628	475
1700048O20Rik	chr9:121945611-121947016	11	0	11	1	13
1700052N19Rik	chr10:4453472-4455140	140	95	235	0.595745	332
1700061G19Rik	chr17:56886441-56886687	67	52	119	0.563025	399
1700066M21Rik	chr1:57382743-57385422	8	6	14	0.571429	124
1700095A21Rik	chr4:146519039-146519927	66	8	74	0.891892	56
1700120C14Rik	chr15:99251788-99252001	23	21	44	0.522727	5
1700123I01Rik	chr19:6223521-6224219	4	10	14	0.285714	46
1700123O20Rik	chr14:54689804-54690742	38	49	87	0.436782	228
