gene	coord	190minus1_CAST	190minus1_129S1	190minus1_total	190minus1_CAST/all	190minus1_htseqCount
0610007P14Rik	chr12:85824471-85824545	274	155	429	0.638695	865
0610009B22Rik	chr11:51685385-51686092	5	9	14	0.357143	102
0610009O20Rik	chr18:38261880-38262629	175	147	322	0.543478	338
0610010F05Rik	chr11:23593426-23593525	8	4	12	0.666667	120
0610030E20Rik	chr6:72348997-72353160	11	11	22	0.5	127
0610031J06Rik	chr3:88328203-88328631	33	46	79	0.417722	336
0610037L13Rik	chr4:107896871-107897802	35	29	64	0.546875	214
0610039K10Rik	chr2:163644850-163645800	7	7	14	0.5	3
1110001J03Rik	chr6:38539159-38539449	33	28	61	0.540984	86
1110002L01Rik	chr12:3407701-3407924	8	9	17	0.470588	82
1110004E09Rik	chr16:90934582-90934849	35	34	69	0.507246	223
1110004F10Rik	chr7:116104212-116105210	52	39	91	0.571429	533
1110007C09Rik	chr13:49208004-49208146	7	8	15	0.466667	61
1110008F13Rik	chr2:156873043-156873562	27	30	57	0.473684	388
1110008L16Rik	chr12:55382257-55382491	96	35	131	0.732824	298
1110012L19Rik	chrX:70388872-70389416	85	46	131	0.648855	280
1110034G24Rik	chr2:132750213-132751055	24	26	50	0.48	63
1110037F02Rik	chr4:11549545-11551143	133	114	247	0.538462	363
1110038B12Rik	chr17:34952352-34952471	122	200	322	0.378882	253
1110038F14Rik	chr15:76950249-76950731	67	55	122	0.54918	112
1110051M20Rik	chr2:91279190-91279253	8	12	20	0.4	103
1110057K04Rik	chr12:8283900-8285759	39	39	78	0.5	205
1110058L19Rik	chr1:24003157-24003306	43	27	70	0.614286	80
1110059E24Rik	chr19:21597313-21598334	20	14	34	0.588235	233
1190002N15Rik	chr9:94537219-94538081	48	37	85	0.564706	189
1190005I06Rik	chr8:120611194-120611337	10	13	23	0.434783	34
1190007I07Rik	chr10:82622965-82623228	32	24	56	0.571429	114
1500004A13Rik	chr3:88822010-88825414	20	4	24	0.833333	66
1500009L16Rik	chr10:83761918-83762762	30	41	71	0.422535	118
1500011B03Rik	chr5:114813780-114813976	31	27	58	0.534483	107
1500012F01Rik	chr2:167065434-167065480	86	85	171	0.502924	519
1600002H07Rik	chr17:24220691-24220769	41	53	94	0.43617	178
1700007K13Rik	chr2:28466034-28466324	14	20	34	0.411765	83
1700013H16Rik	chrX:53751510-53751856	127	72	199	0.638191	394
1700017B05Rik	chr9:57256386-57259140	12	9	21	0.571429	133
1700019D03Rik	chr1:52952615-52952840	4	90	94	0.0425532	123
1700020I14Rik	chr2:119599588-119600744	7	6	13	0.538462	147
1700021F05Rik	chr10:43532676-43533157	57	68	125	0.456	180
1700021K19Rik	chr16:32844547-32844706	21	23	44	0.477273	140
1700025G04Rik	chr1:152006545-152006767	19	8	27	0.703704	96
1700028K03Rik	chr5:107549085-107551542	11	3	14	0.785714	47
1700029P11Rik	chr15:81980540-81981563	22	73	95	0.231579	186
1700030C10Rik	chr12:20815346-20815779	22	2	24	0.916667	45
1700030K09Rik	chr8:72460029-72460541	76	22	98	0.77551	134
1700037H04Rik	chr2:131146325-131146975	72	73	145	0.496552	469
1700052N19Rik	chr10:4453472-4455140	110	83	193	0.569948	288
1700061G19Rik	chr17:56886441-56886687	16	28	44	0.363636	202
1700066M21Rik	chr1:57382743-57385422	3	11	14	0.214286	124
1700120C14Rik	chr15:99251788-99252001	15	14	29	0.517241	0
1700123I01Rik	chr19:6223521-6224219	12	0	12	1	27
1700123O20Rik	chr14:54689804-54690742	19	27	46	0.413043	120
1810009A15Rik	chr19:8890411-8890759	63	76	139	0.453237	20
1810013L24Rik	chr16:8855794-8858924	20	21	41	0.487805	335
1810026B05Rik	chr7:73549597-73549652	20	18	38	0.526316	69
1810026J23Rik	chr9:21593150-21595970	30	33	63	0.47619	140
1810030O07Rik	chrX:12669527-12669646	22	124	146	0.150685	249
1810032O08Rik	chr11:116674300-116675798	70	90	160	0.4375	148
1810037I17Rik	chr3:122925479-122926194	76	119	195	0.389744	356
1810043H04Rik	chr11:120100174-120100424	4	7	11	0.363636	49
1810055G02Rik	chr19:3716491-3717881	8	10	18	0.444444	104
1810058I24Rik	chr6:35261159-35262059	41	21	62	0.66129	229
2010107E04Rik	chr12:111963230-111963353	228	97	325	0.701538	874
2010107G23Rik	chr10:62107656-62109123	29	22	51	0.568627	121
2200002D01Rik	chr7:29247897-29247965	2	8	10	0.2	24
2210013O21Rik	chrX:153723554-153723937	14	0	14	1	98
2210015D19Rik	chr11:5780206-5780635	3	11	14	0.214286	28
2210016F16Rik	chr13:58384824-58385225	15	40	55	0.272727	120
2210016L21Rik	chr5:114947682-114948540	18	28	46	0.391304	132
2210018M11Rik	chr7:98594752-98595312	18	21	39	0.461538	184
2210039B01Rik	chr12:73551156-73551986	71	14	85	0.835294	30
2210409E12Rik	chr11:88972638-88973014	252	29	281	0.896797	271
2310003H01Rik	chr11:120376706-120377661	9	8	17	0.529412	77
2310009A05Rik	chr9:73042432-73042775	21	12	33	0.636364	19
2310011J03Rik	chr10:80320183-80320548	17	20	37	0.459459	78
2310022A10Rik	chr7:27580337-27582098	70	71	141	0.496454	297
2310022B05Rik	chr8:124662848-124663369	116	53	169	0.686391	181
2310035C23Rik	chr1:105753503-105755131	11	23	34	0.323529	230
2310039H08Rik	chr17:46772635-46773407	9	2	11	0.818182	34
2310067B10Rik	chr11:115798275-115799033	49	35	84	0.583333	296
2410002F23Rik	chr7:44250613-44252319	73	103	176	0.414773	384
2410003L11Rik	chr11:97622607-97622893	18	38	56	0.321429	57
2410004N09Rik	chr18:33795853-33795989	116	152	268	0.432836	135
2410006H16Rik	chr11:62604655-62604806	405	532	937	0.432231	1113
2410007B07Rik	chr3:75655390-75655731	12	63	75	0.16	112
2410015M20Rik	chr17:56608638-56608692	37	38	75	0.493333	236
2410016O06Rik	chr12:83950608-83952953	53	23	76	0.697368	187
2410021H03Rik	chr17:69275362-69275906	11	2	13	0.846154	17
2410088K16Rik	chr1:88755534-88755733	20	11	31	0.645161	33
2410089E03Rik	chr15:8270679-8271158	29	18	47	0.617021	179
2410127L17Rik	chr19:18691417-18691595	76	58	134	0.567164	554
2510002D24Rik	chr16:18839090-18840113	30	23	53	0.566038	66
2510003E04Rik	chr10:62577964-62578457	23	30	53	0.433962	139
2510039O18Rik	chr4:147946601-147947314	76	79	155	0.490323	288
2610001J05Rik	chr6:13869074-13870740	55	69	124	0.443548	148
2610002J02Rik	chr4:155256135-155256687	13	10	23	0.565217	46
2610002M06Rik	chrX:107790736-107790779	6	5	11	0.545455	120
2610301B20Rik	chr4:10897899-10899423	49	52	101	0.485149	173
2610305D13Rik	chr4:147615280-147615406	95	18	113	0.840708	1189
2610318N02Rik	chr16:17113398-17113626	5	4	9	0.555556	202
2610507B11Rik	chr11:78289804-78290625	221	242	463	0.477322	1723
2610524H06Rik	chr5:114823313-114823468	27	92	119	0.226891	115
2700029M09Rik	chr8:60905548-60905720	95	65	160	0.59375	398
2700038G22Rik	chr5:23853767-23855033	8	67	75	0.106667	42
2700049A03Rik	chr12:71242944-71243303	106	51	157	0.675159	284
2700060E02Rik	chr14:19822566-19822690	208	273	481	0.432432	1981
2700062C07Rik	chr18:24477269-24477767	17	11	28	0.607143	85
2700097O09Rik	chr12:55079981-55080110	21	8	29	0.724138	170
2700099C18Rik	chr17:94774892-94775129	22	21	43	0.511628	77
2810004N23Rik	chr8:124860946-124861271	331	209	540	0.612963	536
2810006K23Rik	chr5:124340609-124341852	3	7	10	0.3	74
2810008D09Rik	chr11:117078776-117078955	80	147	227	0.352423	104
