gene	coord	109minus1_CAST	109minus1_129S1	109minus1_total	109minus1_CAST/all	109minus1_htseqCount
0610007P14Rik	chr12:85824471-85824545	230	122	352	0.653409	608
0610009B22Rik	chr11:51685385-51686092	7	7	14	0.5	94
0610009O20Rik	chr18:38261880-38262629	107	96	203	0.527094	253
0610010F05Rik	chr11:23573776-23575517	6	5	11	0.545455	87
0610030E20Rik	chr6:72348997-72353160	6	4	10	0.6	69
0610031J06Rik	chr3:88328203-88328631	24	29	53	0.45283	379
0610037L13Rik	chr4:107896871-107897802	49	60	109	0.449541	236
1110001J03Rik	chr6:38539159-38539449	31	19	50	0.62	76
1110002L01Rik	chr12:3403883-3406711	5	20	25	0.2	65
1110004E09Rik	chr16:90934582-90934849	29	21	50	0.58	182
1110004F10Rik	chr7:116104212-116105210	58	60	118	0.491525	578
1110008F13Rik	chr2:156873043-156873562	35	53	88	0.397727	504
1110008L16Rik	chr12:55382257-55382491	133	49	182	0.730769	368
1110012L19Rik	chrX:70388872-70389416	52	30	82	0.634146	146
1110034G24Rik	chr2:132750213-132751055	15	39	54	0.277778	59
1110037F02Rik	chr4:11549545-11551143	70	61	131	0.534351	374
1110038B12Rik	chr17:34952352-34952471	185	254	439	0.421412	346
1110038F14Rik	chr15:76950249-76950731	68	65	133	0.511278	122
1110051M20Rik	chr2:91304749-91304833	10	13	23	0.434783	75
1110057K04Rik	chr12:8283900-8285759	55	58	113	0.486726	244
1110058L19Rik	chr1:24003157-24003306	26	13	39	0.666667	52
1110059E24Rik	chr19:21597313-21598334	22	23	45	0.488889	229
1190002N15Rik	chr9:94517864-94520646	52	48	100	0.52	235
1190005I06Rik	chr8:120634268-120634382	16	15	31	0.516129	39
1190007I07Rik	chr10:82622965-82623228	22	31	53	0.415094	86
1500009L16Rik	chr10:83761918-83762762	11	14	25	0.44	49
1500011B03Rik	chr5:114813780-114813976	24	18	42	0.571429	80
1500012F01Rik	chr2:167065434-167065480	65	42	107	0.607477	320
1600002H07Rik	chr17:24219731-24220133	25	33	58	0.431034	128
1600012H06Rik	chr17:14943184-14945939	4	7	11	0.363636	207
1600020E01Rik	chr6:86532193-86532307	7	7	14	0.5	51
1700007K13Rik	chr2:28466034-28466324	7	9	16	0.4375	71
1700013H16Rik	chrX:53751510-53751856	32	17	49	0.653061	127
1700019D03Rik	chr1:52952615-52952840	1	45	46	0.0217391	78
1700020I14Rik	chr2:119599588-119600744	8	8	16	0.5	99
1700021F05Rik	chr10:43532676-43533157	64	78	142	0.450704	178
1700021K19Rik	chr16:32838238-32838353	8	2	10	0.8	93
1700028K03Rik	chr5:107549085-107551542	6	4	10	0.6	35
1700029P11Rik	chr15:81980540-81981563	33	102	135	0.244444	313
1700030C10Rik	chr12:20815346-20815779	13	47	60	0.216667	88
1700030K09Rik	chr8:72460029-72460541	52	37	89	0.58427	134
1700037H04Rik	chr2:131146325-131146975	76	51	127	0.598425	398
1700052N19Rik	chr10:4453472-4455140	72	78	150	0.48	207
1700061G19Rik	chr17:56886441-56886687	31	32	63	0.492063	237
1700095A21Rik	chr4:146519039-146519927	19	3	22	0.863636	15
1700120C14Rik	chr15:99251788-99252001	18	16	34	0.529412	2
1700123O20Rik	chr14:54689804-54690742	33	27	60	0.55	154
1700128F08Rik	chr9:8241268-8241987	2	6	8	0.25	7
1810009A15Rik	chr19:8890411-8890759	77	78	155	0.496774	18
1810013L24Rik	chr16:8855794-8858924	13	20	33	0.393939	260
1810026B05Rik	chr7:73549597-73549652	11	17	28	0.392857	66
1810026J23Rik	chr9:21593150-21595970	53	43	96	0.552083	176
1810030O07Rik	chrX:12669527-12669646	26	105	131	0.198473	265
1810032O08Rik	chr11:116674300-116675798	75	87	162	0.462963	163
1810037I17Rik	chr3:122925479-122926194	63	84	147	0.428571	321
1810043H04Rik	chr11:120100174-120100424	10	8	18	0.555556	45
1810055G02Rik	chr19:3716491-3717881	12	12	24	0.5	89
1810058I24Rik	chr6:35261159-35262059	48	33	81	0.592593	257
2010107E04Rik	chr12:111963230-111963353	234	126	360	0.65	967
2010111I01Rik	chr13:63298712-63302877	9	9	18	0.5	92
2010320M18Rik	chr8:70776862-70777606	14	8	22	0.636364	49
2200002D01Rik	chr7:29247897-29247965	9	7	16	0.5625	26
2210013O21Rik	chrX:153723554-153723937	9	0	9	1	73
2210015D19Rik	chr11:5780206-5780635	16	15	31	0.516129	41
2210016F16Rik	chr13:58384824-58385225	15	25	40	0.375	133
2210016L21Rik	chr5:114947682-114948540	29	26	55	0.527273	201
2210018M11Rik	chr7:98594752-98595312	34	32	66	0.515152	154
2210039B01Rik	chr12:73551156-73551986	63	17	80	0.7875	45
2210409E12Rik	chr11:88972638-88973014	220	42	262	0.839695	233
2310003H01Rik	chr11:120373882-120374651	16	23	39	0.410256	144
2310009A05Rik	chr9:73042432-73042775	12	20	32	0.375	28
2310011J03Rik	chr10:80320183-80320548	11	22	33	0.333333	139
2310022A10Rik	chr7:27580337-27582098	44	45	89	0.494382	237
2310022B05Rik	chr8:124635756-124637964	60	11	71	0.84507	137
2310033P09Rik	chr11:59210227-59210734	9	12	21	0.428571	83
2310035C23Rik	chr1:105753503-105755131	5	5	10	0.5	230
2310039H08Rik	chr17:46772635-46773407	11	10	21	0.52381	30
2310045N01Rik	chr8:70145811-70145890	7	3	10	0.7	60
2310057M21Rik	chr7:131361733-131361936	8	5	13	0.615385	69
2310067B10Rik	chr11:115798275-115799033	21	33	54	0.388889	206
2410002F23Rik	chr7:44250613-44252319	83	146	229	0.362445	544
2410003L11Rik	chr11:97622607-97622893	10	70	80	0.125	98
2410004N09Rik	chr18:33795853-33795989	143	143	286	0.5	154
2410006H16Rik	chr11:62604655-62604806	179	229	408	0.438725	513
2410007B07Rik	chr3:75655390-75655731	14	106	120	0.116667	219
2410015M20Rik	chr17:56608638-56608692	49	31	80	0.6125	209
2410016O06Rik	chr12:83950608-83952953	87	16	103	0.84466	268
2410021H03Rik	chr17:69275362-69275906	6	4	10	0.6	10
2410088K16Rik	chr1:88755534-88755733	51	24	75	0.68	42
2410089E03Rik	chr15:8270679-8271158	14	17	31	0.451613	135
2410127L17Rik	chr19:18691417-18691595	61	56	117	0.521368	506
2410137M14Rik	chr17:36978651-36978933	2	16	18	0.111111	32
2510002D24Rik	chr16:18839090-18840113	10	11	21	0.47619	48
2510003E04Rik	chr10:62558470-62559883	24	17	41	0.585366	124
2510039O18Rik	chr4:147946601-147947314	106	91	197	0.538071	321
2610001J05Rik	chr6:13869074-13870740	38	29	67	0.567164	76
