gene	coord	109plus2_CAST	109plus2_129S1	109plus2_total	109plus2_CAST/all	109plus2_htseqCount
0610007P14Rik	chr12:85824471-85824545	159	113	272	0.584559	392
0610009B22Rik	chr11:51685385-51686092	8	3	11	0.727273	75
0610009O20Rik	chr18:38261880-38262629	147	116	263	0.558935	300
0610030E20Rik	chr6:72348997-72353160	5	7	12	0.416667	103
0610031J06Rik	chr3:88328203-88328631	38	54	92	0.413043	440
0610037L13Rik	chr4:107896871-107897802	34	28	62	0.548387	136
1110001J03Rik	chr6:38539159-38539449	13	14	27	0.481481	43
1110004E09Rik	chr16:90934582-90934849	19	15	34	0.558824	111
1110004F10Rik	chr7:116104212-116105210	52	54	106	0.490566	455
1110008F13Rik	chr2:156873043-156873562	31	29	60	0.516667	294
1110008L16Rik	chr12:55382257-55382491	136	40	176	0.772727	354
1110012L19Rik	chrX:70388872-70389416	23	35	58	0.396552	113
1110034G24Rik	chr2:132750213-132751055	9	11	20	0.45	36
1110037F02Rik	chr4:11549545-11551143	114	89	203	0.561576	373
1110038B12Rik	chr17:34952352-34952471	262	372	634	0.413249	472
1110038F14Rik	chr15:76950249-76950731	44	62	106	0.415094	94
1110051M20Rik	chr2:91304749-91304833	17	21	38	0.447368	61
1110057K04Rik	chr12:8283900-8285759	15	14	29	0.517241	106
1110058L19Rik	chr1:24003157-24003306	31	8	39	0.794872	57
1110059E24Rik	chr19:21597313-21598334	21	22	43	0.488372	242
1190002N15Rik	chr9:94517864-94520646	38	62	100	0.38	174
1190007I07Rik	chr10:82622965-82623228	9	11	20	0.45	65
1500004A13Rik	chr3:88822010-88825414	21	1	22	0.954545	63
1500009L16Rik	chr10:83761918-83762762	20	19	39	0.512821	66
1500011B03Rik	chr5:114813780-114813976	24	22	46	0.521739	101
1500012F01Rik	chr2:167065434-167065480	95	71	166	0.572289	515
1500015A07Rik	chr18:61726390-61728253	3	22	25	0.12	34
1600002H07Rik	chr17:24220691-24220769	24	29	53	0.45283	136
1600002K03Rik	chr10:80174817-80175119	6	4	10	0.6	17
1600012H06Rik	chr17:14943184-14945939	3	10	13	0.230769	190
1600014C10Rik	chr7:38194785-38197565	57	52	109	0.522936	81
1600020E01Rik	chr6:86564276-86564449	19	17	36	0.527778	67
1700007K13Rik	chr2:28466034-28466324	3	12	15	0.2	70
1700017B05Rik	chr9:57256386-57259140	7	7	14	0.5	140
1700019D03Rik	chr1:52925127-52925734	1	33	34	0.0294118	43
1700021F05Rik	chr10:43532676-43533157	58	33	91	0.637363	117
1700021K19Rik	chr16:32827288-32827352	4	6	10	0.4	109
1700029P11Rik	chr15:81980540-81981563	41	90	131	0.312977	234
1700030C10Rik	chr12:20815346-20815779	22	49	71	0.309859	84
