gene	coord	87minus1_CAST	87minus1_129S1	87minus1_total	87minus1_CAST/all	87minus1_htseqCount
0610007P14Rik	chr12:85824471-85824545	820	282	1102	0.744102	2372
0610009B22Rik	chr11:51685385-51686092	16	14	30	0.533333	248
0610009O20Rik	chr18:38261880-38262629	273	203	476	0.573529	652
0610010F05Rik	chr11:23628873-23629031	44	54	98	0.44898	413
0610030E20Rik	chr6:72348997-72353160	33	56	89	0.370787	279
0610031J06Rik	chr3:88328203-88328631	75	67	142	0.528169	944
0610037L13Rik	chr4:107896871-107897802	96	91	187	0.513369	532
0610039K10Rik	chr2:163644850-163645800	24	13	37	0.648649	10
1110001J03Rik	chr6:38539159-38539449	52	33	85	0.611765	202
1110002L01Rik	chr12:3407701-3407924	2	30	32	0.0625	166
1110004E09Rik	chr16:90934582-90934849	49	49	98	0.5	415
1110004F10Rik	chr7:116104212-116105210	136	161	297	0.457912	1574
1110007C09Rik	chr13:49208004-49208146	14	6	20	0.7	97
1110008F13Rik	chr2:156873043-156873562	99	104	203	0.487685	1155
1110008L16Rik	chr12:55382257-55382491	78	65	143	0.545455	455
1110012L19Rik	chrX:70388872-70389416	139	91	230	0.604348	540
1110034G24Rik	chr2:132750213-132751055	56	66	122	0.459016	146
1110037F02Rik	chr4:11549545-11551143	413	358	771	0.535668	1331
1110038B12Rik	chr17:34952352-34952471	360	561	921	0.390879	684
1110038F14Rik	chr15:76950249-76950731	149	142	291	0.512027	274
1110051M20Rik	chr2:91304749-91304833	29	32	61	0.47541	230
1110057K04Rik	chr12:8283900-8285759	76	76	152	0.5	415
1110058L19Rik	chr1:24003157-24003306	77	41	118	0.652542	161
1110059E24Rik	chr19:21597313-21598334	50	45	95	0.526316	843
1110059G10Rik	chr9:122950805-122951000	8	6	14	0.571429	160
1190002N15Rik	chr9:94537219-94538081	144	120	264	0.545455	635
1190005I06Rik	chr8:120611194-120611337	8	21	29	0.275862	58
1190007I07Rik	chr10:82622965-82623228	55	72	127	0.433071	291
1300002E11Rik	chr16:21808678-21809039	16	7	23	0.695652	118
1500004A13Rik	chr3:88822010-88825414	42	12	54	0.777778	197
1500009L16Rik	chr10:83761918-83762762	14	39	53	0.264151	102
1500011B03Rik	chr5:114813780-114813976	77	51	128	0.601562	229
1500012F01Rik	chr2:167065434-167065480	97	107	204	0.47549	672
1500015A07Rik	chr18:61726390-61728253	1	13	14	0.0714286	81
1600002H07Rik	chr17:24220691-24220769	120	104	224	0.535714	436
1600002K03Rik	chr10:80174817-80175119	6	4	10	0.6	38
1600012H06Rik	chr17:14943184-14945939	17	19	36	0.472222	490
1600014C10Rik	chr7:38194785-38197565	56	73	129	0.434109	105
1600020E01Rik	chr6:86564276-86564449	18	19	37	0.486486	73
1700001L05Rik	chr15:83353847-83358950	3	7	10	0.3	331
1700007K13Rik	chr2:28466034-28466324	17	20	37	0.459459	194
1700007L15Rik	chr16:33380516-33380736	14	10	24	0.583333	55
1700007P06Rik	chr1:187127562-187127852	29	28	57	0.508772	26
1700013H16Rik	chrX:53751510-53751856	67	29	96	0.697917	291
1700017B05Rik	chr9:57256386-57259140	40	48	88	0.454545	389
1700019B21Rik	chrX:62514435-62514537	13	6	19	0.684211	28
1700019D03Rik	chr1:52952615-52952840	6	125	131	0.0458015	156
1700020I14Rik	chr2:119599588-119600744	24	9	33	0.727273	444
1700021F05Rik	chr10:43532676-43533157	209	160	369	0.566396	573
1700021K19Rik	chr16:32844547-32844706	77	77	154	0.5	329
1700025G04Rik	chr1:152006545-152006767	54	27	81	0.666667	266
1700028K03Rik	chr5:107549085-107551542	8	5	13	0.615385	95
1700029P11Rik	chr15:81980540-81981563	48	126	174	0.275862	492
1700030C10Rik	chr12:20815346-20815779	37	66	103	0.359223	102
1700030K09Rik	chr8:72460029-72460541	62	56	118	0.525424	234
1700037H04Rik	chr2:131146325-131146975	142	101	243	0.584362	1015
1700048O20Rik	chr9:121945611-121947016	13	0	13	1	22
1700052N19Rik	chr10:4453472-4455140	168	191	359	0.467967	622
1700061G19Rik	chr17:56886441-56886687	81	77	158	0.512658	753
1700066M21Rik	chr1:57382743-57385422	23	40	63	0.365079	303
1700080O16Rik	chrX:51970215-51970285	9	2	11	0.818182	61
1700094D03Rik	chr3:90065510-90068347	3	5	8	0.375	76
1700095A21Rik	chr4:146519039-146519927	123	41	164	0.75	90
1700120C14Rik	chr15:99251788-99252001	33	39	72	0.458333	4
1700123I01Rik	chr19:6223521-6224219	7	4	11	0.636364	39
1700123O20Rik	chr14:54689804-54690742	74	63	137	0.540146	435
1700128F08Rik	chr9:8241268-8241987	7	13	20	0.35	25
1810009A15Rik	chr19:8890411-8890759	269	222	491	0.547862	126
1810013L24Rik	chr16:8855794-8858924	41	46	87	0.471264	857
1810024B03Rik	chr2:127208175-127208280	0	19	19	0	12
1810026B05Rik	chr7:73549597-73549652	30	25	55	0.545455	212
1810026J23Rik	chr9:21593150-21595970	75	90	165	0.454545	451
1810030O07Rik	chrX:12669527-12669646	70	233	303	0.231023	725
1810032O08Rik	chr11:116674300-116675798	176	188	364	0.483516	411
1810037I17Rik	chr3:122925479-122926194	132	198	330	0.4	819
1810043G02Rik	chr10:77984419-77985438	16	10	26	0.615385	81
1810043H04Rik	chr11:120100174-120100424	20	19	39	0.512821	128
1810055G02Rik	chr19:3716491-3717881	38	30	68	0.558824	274
1810058I24Rik	chr6:35261159-35262059	69	52	121	0.570248	451
2010012O05Rik	chr19:46701515-46703382	11	19	30	0.366667	103
2010107E04Rik	chr12:111963230-111963353	803	214	1017	0.789577	3086
2010107G23Rik	chr10:62107656-62109123	42	18	60	0.7	114
2010111I01Rik	chr13:63298712-63302877	18	15	33	0.545455	236
2010315B03Rik	chr9:124291804-124294101	0	46	46	0	187
2010320M18Rik	chr8:70776862-70777606	14	14	28	0.5	60
2200002D01Rik	chr7:29247897-29247965	7	22	29	0.241379	55
2210013O21Rik	chrX:153723554-153723937	31	18	49	0.632653	446
2210015D19Rik	chr11:5783892-5784710	53	92	145	0.365517	115
2210016F16Rik	chr13:58384824-58385225	28	72	100	0.28	288
2210016L21Rik	chr5:114947682-114948540	83	81	164	0.506098	499
2210018M11Rik	chr7:98626466-98626720	73	95	168	0.434524	654
2210039B01Rik	chr12:73551156-73551986	151	41	192	0.786458	80
2210404O09Rik	chr17:21887311-21887358	25	17	42	0.595238	171
2210408I21Rik	chr13:77192554-77193905	7	4	11	0.636364	142
2210409E12Rik	chr11:88972638-88973014	642	97	739	0.868742	885
2310003H01Rik	chr11:120376706-120377661	43	49	92	0.467391	258
2310009A05Rik	chr9:73042432-73042775	47	40	87	0.54023	54
2310011J03Rik	chr10:80320183-80320548	32	70	102	0.313725	299
2310014L17Rik	chr7:12927885-12931072	4	13	17	0.235294	108
2310022A10Rik	chr7:27580337-27582098	136	102	238	0.571429	648
2310022B05Rik	chr8:124662848-124663369	209	115	324	0.645062	332
2310030G06Rik	chr9:50739691-50740749	2	9	11	0.181818	109
2310033P09Rik	chr11:59210227-59210734	18	19	37	0.486486	177
2310035C23Rik	chr1:105753503-105755131	40	38	78	0.512821	667
2310039H08Rik	chr17:46772635-46773407	9	3	12	0.75	60
2310039L15Rik	chr10:95336276-95336555	1	10	11	0.0909091	109
2310045N01Rik	chr8:70145811-70145890	10	10	20	0.5	156
2310057M21Rik	chr7:131361733-131361936	6	8	14	0.428571	149
2310061J03Rik	chr16:55973268-55974617	5	10	15	0.333333	28
2310067B10Rik	chr11:115798275-115799033	43	66	109	0.394495	499
2410002F23Rik	chr7:44250613-44252319	188	224	412	0.456311	1044
2410003L11Rik	chr11:97622607-97622893	30	124	154	0.194805	188
2410004B18Rik	chr3:145938032-145938328	8	13	21	0.380952	250
2410004N09Rik	chr18:33795853-33795989	151	151	302	0.5	193
2410006H16Rik	chr11:62604655-62604806	362	386	748	0.483957	1021
2410007B07Rik	chr3:75655390-75655731	37	204	241	0.153527	498
2410012M07Rik	chr9:98864767-98866580	4	6	10	0.4	87
2410015M20Rik	chr17:56608638-56608692	112	108	220	0.509091	712
2410016O06Rik	chr12:83950608-83952953	201	69	270	0.744444	772
2410021H03Rik	chr17:69277060-69277206	17	6	23	0.73913	50
2410088K16Rik	chr1:88755534-88755733	65	26	91	0.714286	70
2410089E03Rik	chr15:8270679-8271158	144	226	370	0.389189	655
2410127L17Rik	chr19:18691417-18691595	130	147	277	0.469314	1598
2410131K14Rik	chr5:118261100-118263114	31	63	94	0.329787	158
2410137M14Rik	chr17:36978651-36978933	12	58	70	0.171429	187
2510002D24Rik	chr16:18839090-18840113	56	83	139	0.402878	162
2510003E04Rik	chr10:62558470-62559883	45	48	93	0.483871	368
2510009E07Rik	chr16:21649045-21653758	18	23	41	0.439024	208
2510039O18Rik	chr4:147946601-147947314	158	198	356	0.44382	770
2610001J05Rik	chr6:13869074-13870740	81	106	187	0.433155	270
2610002J02Rik	chr4:155256135-155256687	24	23	47	0.510638	83
2610002M06Rik	chrX:107790736-107790779	7	13	20	0.35	190
2610008E11Rik	chr10:79064374-79068051	4	6	10	0.4	81
2610015P09Rik	chr16:43960018-43960163	19	20	39	0.487179	169
2610018G03Rik	chrX:50885787-50885944	1	8	9	0.111111	122
2610020H08Rik	chr7:119825536-119825638	9	24	33	0.272727	109
2610028E06Rik	chr4:125893182-125893276	20	0	20	1	26
2610044O15Rik8	chr8:129216354-129217749	3	11	14	0.214286	163
2610301B20Rik	chr4:10897899-10899423	82	163	245	0.334694	390
2610305D13Rik	chr4:147615280-147615406	295	81	376	0.784574	5480
2610318N02Rik	chr16:17123512-17123654	21	17	38	0.552632	535
2610507B11Rik	chr11:78289804-78290625	733	702	1435	0.510801	6051
2610524H06Rik	chr5:114823313-114823468	119	215	334	0.356287	343
2700029M09Rik	chr8:60905548-60905720	182	133	315	0.577778	957
2700038G22Rik	chr5:23853767-23855033	78	167	245	0.318367	174
2700049A03Rik	chr12:71242944-71243303	122	125	247	0.493927	573
2700060E02Rik	chr14:19822566-19822690	572	550	1122	0.509804	5039
2700062C07Rik	chr18:24477269-24477767	33	43	76	0.434211	203
2700081O15Rik	chr19:7422643-7425904	46	39	85	0.541176	333
2700089E24Rik	chr6:133105239-133107750	6	14	20	0.3	108
2700097O09Rik	chr12:55079981-55080110	17	21	38	0.447368	273
2700099C18Rik	chr17:94774892-94775129	31	54	85	0.364706	242
2810001G20Rik	chr11:64082653-64083259	5	12	17	0.294118	37
2810004N23Rik	chr8:124860946-124861271	410	457	867	0.472895	1145
2810006K23Rik	chr5:124340609-124341852	16	19	35	0.457143	273
2810008D09Rik	chr11:117078776-117078955	96	201	297	0.323232	148
2810013P06Rik	chr8:123042575-123044602	30	12	42	0.714286	101
2810021J22Rik	chr11:58879929-58884338	7	8	15	0.466667	219
2810025M15Rik	chr1:157419869-157420236	244	232	476	0.512605	981
2810403A07Rik	chr3:88711630-88712933	41	74	115	0.356522	771
2810408A11Rik	chr11:69899517-69899588	13	6	19	0.684211	55
2810408I11Rik	chr1:64690464-64690659	9	15	24	0.375	79
2810408M09Rik	chr2:165490112-165491711	97	67	164	0.591463	151
2810417H13Rik	chr9:65893372-65893534	12	38	50	0.24	194
2810428I15Rik	chr8:70506662-70506739	31	28	59	0.525424	335
2810474O19Rik	chr6:149334592-149335663	279	237	516	0.540698	3821
2900011O08Rik	chr16:14099793-14101494	15	41	56	0.267857	156
2900026A02Rik	chr5:113095590-113095764	111	108	219	0.506849	422
2900041M22Rik	chr11:117612262-117613417	12	31	43	0.27907	42
2900076A07Rik	chr7:81531211-81531498	17	31	48	0.354167	43
2900097C17Rik	chr2:156388063-156392979	40	35	75	0.533333	1438
3010026O09Rik	chr11:50199536-50200115	29	34	63	0.460317	230
3110002H16Rik	chr18:12188560-12188637	19	19	38	0.5	354
3110021N24Rik	chr4:108780453-108781904	30	26	56	0.535714	41
3110040N11Rik	chr7:81789355-81789453	153	92	245	0.62449	286
3110043O21Rik	chr4:35218414-35218916	50	56	106	0.471698	384
3110062M04Rik	chr6:34877575-34878065	4	6	10	0.4	53
3110082I17Rik	chr5:139460469-139460534	367	301	668	0.549401	589
3300002I08Rik	chr2:150362588-150362765	6	12	18	0.333333	52
3830406C13Rik	chr14:12301148-12303231	13	19	32	0.40625	154
4632415L05Rik	chr3:19894871-19898984	0	12	12	0	78
4833420G17Rik	chr13:119485727-119486117	403	246	649	0.620955	595
4833439L19Rik	chr13:54565182-54565382	283	375	658	0.430091	1007
4921524J17Rik	chr8:85408759-85409890	18	31	49	0.367347	358
4930402H24Rik	chr2:130839964-130840110	20	25	45	0.444444	236
4930404N11Rik	chr10:81364742-81364980	58	39	97	0.597938	183
4930414L22Rik	chr6:72438683-72440615	193	180	373	0.517426	290
4930427A07Rik	chr12:113163053-113165458	304	150	454	0.669604	631
4930429B21Rik	chr3:32365489-32367438	1	8	9	0.111111	21
4930444M15Rik	chr14:76515878-76516352	29	48	77	0.376623	83
4930447C04Rik	chr12:72916674-72916730	10	56	66	0.151515	233
4930451C15Rik	chr16:17544465-17545642	9	4	13	0.692308	7
4930452B06Rik	chr14:8662259-8662348	82	35	117	0.700855	286
4930453N24Rik	chr16:64768924-64769162	50	71	121	0.413223	645
4930461G14Rik	chr9:58469145-58469623	11	46	57	0.192982	73
4930470H14Rik	chr17:4081830-4082995	43	42	85	0.505882	559
4930483K19Rik	chr10:76555203-76555307	6	17	23	0.26087	73
4930486L24Rik	chr13:60853100-60853324	0	18	18	0	61
4930500J02Rik	chr2:104567861-104568230	603	577	1180	0.511017	1089
4930502E18Rik	chrX:53727367-53727548	8	4	12	0.666667	62
4930503L19Rik	chr18:70472291-70472480	333	314	647	0.514683	561
4930506C21Rik	chr17:8297029-8297243	36	48	84	0.428571	212
4930511M06Rik	chr18:57546014-57548375	47	104	151	0.311258	185
4930513N10Rik	chr8:95806830-95809180	34	27	61	0.557377	52
4930519F16Rik	chrX:103234022-103234269	22	25	47	0.468085	85
4930519G04Rik	chr5:114882795-114883879	12	0	12	1	5
4930524B15Rik	chr11:31978242-31979651	7	10	17	0.411765	95
4930528D03Rik	chr13:59733936-59734838	6	8	14	0.428571	29
4930548H24Rik	chr5:31487282-31488262	4	15	19	0.210526	102
4930558J18Rik	chr1:57375248-57375519	9	14	23	0.391304	76
4930579G24Rik	chr3:79631129-79632819	63	114	177	0.355932	145
4930591A17Rik	chr2:179416472-179416880	1	11	12	0.0833333	19
4931406C07Rik	chr9:15301367-15301607	51	52	103	0.495146	294
4931406P16Rik	chr7:34284702-34285609	98	102	200	0.49	863
4931428F04Rik	chr8:105280409-105282144	29	8	37	0.783784	124
4932438A13Rik	chr3:37052324-37053033	89	111	200	0.445	1801
4932702P03Rik	chr13:24911597-24911780	3	5	8	0.375	42
