gene	coord	86minus1_CAST	86minus1_129S1	86minus1_total	86minus1_CAST/all	86minus1_htseqCount
0610007P14Rik	chr12:85824471-85824545	247	142	389	0.634961	649
0610009B22Rik	chr11:51685385-51686092	7	8	15	0.466667	95
0610009O20Rik	chr18:38261880-38262629	113	79	192	0.588542	227
0610010F05Rik	chr11:23628873-23629031	11	6	17	0.647059	167
0610031J06Rik	chr3:88328203-88328631	29	22	51	0.568627	311
0610037L13Rik	chr4:107896871-107897802	42	37	79	0.531646	227
0610039K10Rik	chr2:163644850-163645800	6	3	9	0.666667	10
1110001J03Rik	chr6:38539159-38539449	20	20	40	0.5	64
1110004E09Rik	chr16:90934582-90934849	25	33	58	0.431034	200
1110004F10Rik	chr7:116104212-116105210	62	61	123	0.504065	668
1110008F13Rik	chr2:156873043-156873562	32	38	70	0.457143	419
1110008L16Rik	chr12:55382257-55382491	114	35	149	0.765101	332
1110012L19Rik	chrX:70388872-70389416	80	55	135	0.592593	214
1110034G24Rik	chr2:132750213-132751055	8	19	27	0.296296	51
1110037F02Rik	chr4:11549545-11551143	108	106	214	0.504673	392
1110038B12Rik	chr17:34952352-34952471	173	208	381	0.454068	305
1110038F14Rik	chr15:76950249-76950731	62	45	107	0.579439	88
1110051M20Rik	chr2:91304749-91304833	18	11	29	0.62069	88
1110057K04Rik	chr12:8283900-8285759	62	35	97	0.639175	201
1110058L19Rik	chr1:24003157-24003306	50	15	65	0.769231	68
1110059E24Rik	chr19:21597313-21598334	13	14	27	0.481481	270
1190002N15Rik	chr9:94517864-94520646	65	51	116	0.560345	262
1190007I07Rik	chr10:82622965-82623228	20	26	46	0.434783	79
1500004A13Rik	chr3:88822010-88825414	20	0	20	1	65
1500009L16Rik	chr10:83761918-83762762	10	18	28	0.357143	56
1500011B03Rik	chr5:114813780-114813976	13	20	33	0.393939	75
1500012F01Rik	chr2:167065434-167065480	57	58	115	0.495652	367
1500015A07Rik	chr18:61726390-61728253	1	10	11	0.0909091	49
1600002H07Rik	chr17:24219731-24220133	16	30	46	0.347826	130
1600012H06Rik	chr17:14943184-14945939	8	5	13	0.615385	171
1600014C10Rik	chr7:38194785-38197565	4	8	12	0.333333	49
1700007K13Rik	chr2:28466034-28466324	9	13	22	0.409091	81
1700013H16Rik	chrX:53751510-53751856	188	119	307	0.612378	614
1700017B05Rik	chr9:57256386-57259140	6	5	11	0.545455	122
1700019D03Rik	chr1:52925127-52925734	2	25	27	0.0740741	51
1700020I14Rik	chr2:119599588-119600744	11	7	18	0.611111	139
1700021F05Rik	chr10:43532676-43533157	92	50	142	0.647887	192
1700025G04Rik	chr1:151884524-151893432	13	2	15	0.866667	71
1700028K03Rik	chr5:107549085-107551542	9	3	12	0.75	38
1700029P11Rik	chr15:81980540-81981563	15	52	67	0.223881	170
1700030C10Rik	chr12:20815346-20815779	25	13	38	0.657895	57
1700030K09Rik	chr8:72460029-72460541	37	16	53	0.698113	120
1700037H04Rik	chr2:131146325-131146975	73	50	123	0.593496	334
1700052N19Rik	chr10:4453472-4455140	77	75	152	0.506579	261
1700061G19Rik	chr17:56886441-56886687	13	18	31	0.419355	140
1700066M21Rik	chr1:57382743-57385422	1	10	11	0.0909091	64
1700095A21Rik	chr4:146519039-146519927	12	0	12	1	12
1700120C14Rik	chr15:99251788-99252001	8	7	15	0.533333	1
1700123O20Rik	chr14:54689804-54690742	27	38	65	0.415385	163
1810009A15Rik	chr19:8890411-8890759	81	66	147	0.55102	20
1810013L24Rik	chr16:8855794-8858924	10	8	18	0.555556	287
1810026B05Rik	chr7:73549597-73549652	12	17	29	0.413793	85
1810026J23Rik	chr9:21593150-21595970	27	33	60	0.45	154
1810030O07Rik	chrX:12669527-12669646	29	83	112	0.258929	281
1810032O08Rik	chr11:116674300-116675798	93	67	160	0.58125	164
1810037I17Rik	chr3:122925479-122926194	46	84	130	0.353846	319
1810043H04Rik	chr11:120100174-120100424	5	4	9	0.555556	44
1810055G02Rik	chr19:3716491-3717881	12	15	27	0.444444	112
1810058I24Rik	chr6:35261159-35262059	35	28	63	0.555556	177
2010107E04Rik	chr12:111963230-111963353	177	88	265	0.667925	834
2010107G23Rik	chr10:62107656-62109123	16	5	21	0.761905	49
2010111I01Rik	chr13:63298712-63302877	18	21	39	0.461538	122
2010315B03Rik	chr9:124291804-124294101	0	27	27	0	33
2010320M18Rik	chr8:70776862-70777606	6	4	10	0.6	32
2200002D01Rik	chr7:29247897-29247965	12	7	19	0.631579	34
2210013O21Rik	chrX:153723554-153723937	10	0	10	1	63
2210015D19Rik	chr11:5780206-5780635	12	45	57	0.210526	49
2210016F16Rik	chr13:58384824-58385225	16	39	55	0.290909	152
2210016L21Rik	chr5:114947682-114948540	31	23	54	0.574074	139
2210018M11Rik	chr7:98626466-98626720	26	28	54	0.481481	176
2210039B01Rik	chr12:73551156-73551986	110	12	122	0.901639	26
2210409E12Rik	chr11:88972638-88973014	297	40	337	0.881306	300
2310003H01Rik	chr11:120376706-120377661	9	9	18	0.5	82
2310009A05Rik	chr9:73042432-73042775	15	36	51	0.294118	31
2310011J03Rik	chr10:80320183-80320548	13	17	30	0.433333	113
2310022A10Rik	chr7:27580337-27582098	42	35	77	0.545455	193
2310022B05Rik	chr8:124639091-124639615	133	33	166	0.801205	190
2310035C23Rik	chr1:105753503-105755131	14	12	26	0.538462	251
2310039H08Rik	chr17:46772635-46773407	4	4	8	0.5	26
2310045N01Rik	chr8:70145811-70145890	6	3	9	0.666667	52
2310067B10Rik	chr11:115798275-115799033	21	28	49	0.428571	210
2410002F23Rik	chr7:44250613-44252319	121	124	245	0.493878	565
2410003L11Rik	chr11:97622607-97622893	9	25	34	0.264706	62
2410004N09Rik	chr18:33795853-33795989	100	121	221	0.452489	129
2410006H16Rik	chr11:62604655-62604806	227	330	557	0.40754	734
2410007B07Rik	chr3:75655390-75655731	24	102	126	0.190476	223
2410015M20Rik	chr17:56608638-56608692	51	42	93	0.548387	241
2410016O06Rik	chr12:83950608-83952953	83	17	100	0.83	211
2410088K16Rik	chr1:88755534-88755733	23	15	38	0.605263	24
2410089E03Rik	chr15:8270679-8271158	20	31	51	0.392157	202
2410127L17Rik	chr19:18691417-18691595	63	53	116	0.543103	527
2410131K14Rik	chr5:118261100-118263114	3	7	10	0.3	46
2410137M14Rik	chr17:36978651-36978933	6	9	15	0.4	53
2510002D24Rik	chr16:18839090-18840113	21	24	45	0.466667	59
2510003E04Rik	chr10:62558470-62559883	19	13	32	0.59375	118
2510009E07Rik	chr16:21649045-21653758	7	4	11	0.636364	107
2510039O18Rik	chr4:147946601-147947314	100	104	204	0.490196	349
2610001J05Rik	chr6:13869074-13870740	44	67	111	0.396396	132
