gene	coord	190minus2_CAST	190minus2_129S1	190minus2_total	190minus2_CAST/all	190minus2_htseqCount
0610007P14Rik	chr12:85824471-85824545	277	193	470	0.589362	768
0610009B22Rik	chr11:51685385-51686092	12	12	24	0.5	86
0610009O20Rik	chr18:38261880-38262629	182	126	308	0.590909	359
0610010F05Rik	chr11:23628873-23629031	18	16	34	0.529412	146
0610030E20Rik	chr6:72348997-72353160	17	17	34	0.5	121
0610031J06Rik	chr3:88328203-88328631	36	32	68	0.529412	401
0610037L13Rik	chr4:107896871-107897802	38	34	72	0.527778	187
0610039K10Rik	chr2:163644850-163645800	10	6	16	0.625	8
0610040F04Rik	chr6:108610218-108610621	4	5	9	0.444444	72
1110001J03Rik	chr6:38539159-38539449	20	22	42	0.47619	77
1110002L01Rik	chr12:3403883-3406711	10	1	11	0.909091	84
1110004E09Rik	chr16:90934582-90934849	23	44	67	0.343284	223
1110004F10Rik	chr7:116104212-116105210	62	50	112	0.553571	584
1110007C09Rik	chr13:49208004-49208146	4	7	11	0.363636	74
1110008F13Rik	chr2:156873043-156873562	29	36	65	0.446154	408
1110008L16Rik	chr12:55382257-55382491	103	42	145	0.710345	300
1110012L19Rik	chrX:70388872-70389416	59	39	98	0.602041	236
1110034G24Rik	chr2:132750213-132751055	21	40	61	0.344262	64
1110037F02Rik	chr4:11549545-11551143	105	84	189	0.555556	394
1110038B12Rik	chr17:34952352-34952471	143	214	357	0.40056	236
1110038F14Rik	chr15:76950249-76950731	82	46	128	0.640625	112
1110051M20Rik	chr2:91304749-91304833	16	10	26	0.615385	77
1110057K04Rik	chr12:8283900-8285759	60	41	101	0.594059	211
1110058L19Rik	chr1:24003157-24003306	50	27	77	0.649351	85
1110059E24Rik	chr19:21597313-21598334	15	6	21	0.714286	258
1190002N15Rik	chr9:94517864-94520646	50	43	93	0.537634	195
1190007I07Rik	chr10:82622965-82623228	36	35	71	0.507042	112
1500004A13Rik	chr3:88822010-88825414	11	1	12	0.916667	72
1500009L16Rik	chr10:83761918-83762762	31	35	66	0.469697	103
1500011B03Rik	chr5:114813780-114813976	24	26	50	0.48	102
1500012F01Rik	chr2:167065434-167065480	104	68	172	0.604651	525
1600002H07Rik	chr17:24220691-24220769	50	51	101	0.49505	175
1600014C10Rik	chr7:38194785-38197565	5	6	11	0.454545	40
1700001L05Rik	chr15:83353847-83358950	3	7	10	0.3	180
1700007K13Rik	chr2:28466034-28466324	2	16	18	0.111111	69
1700013H16Rik	chrX:53751510-53751856	107	62	169	0.633136	364
1700017B05Rik	chr9:57256386-57259140	7	15	22	0.318182	122
1700019D03Rik	chr1:52952615-52952840	12	99	111	0.108108	124
1700020I14Rik	chr2:119599588-119600744	9	8	17	0.529412	118
1700021F05Rik	chr10:43532676-43533157	70	61	131	0.534351	156
1700021K19Rik	chr16:32827288-32827352	17	22	39	0.435897	126
1700029P11Rik	chr15:81980540-81981563	17	64	81	0.209877	186
1700030C10Rik	chr12:20815346-20815779	16	7	23	0.695652	29
1700030K09Rik	chr8:72460029-72460541	94	33	127	0.740157	179
1700037H04Rik	chr2:131146325-131146975	104	64	168	0.619048	489
1700052N19Rik	chr10:4453472-4455140	96	113	209	0.45933	292
1700061G19Rik	chr17:56886441-56886687	21	28	49	0.428571	194
1700095A21Rik	chr4:146519039-146519927	10	0	10	1	10
1700120C14Rik	chr15:99251788-99252001	9	21	30	0.3	7
1700123O20Rik	chr14:54689804-54690742	33	37	70	0.471429	158
1810009A15Rik	chr19:8890411-8890759	59	60	119	0.495798	12
1810013L24Rik	chr16:8855794-8858924	13	14	27	0.481481	363
1810026B05Rik	chr7:73549597-73549652	13	15	28	0.464286	71
1810026J23Rik	chr9:21593150-21595970	18	31	49	0.367347	138
1810030O07Rik	chrX:12669527-12669646	10	141	151	0.0662252	274
1810032O08Rik	chr11:116674300-116675798	90	70	160	0.5625	145
1810037I17Rik	chr3:122925479-122926194	81	89	170	0.476471	308
1810043H04Rik	chr11:120100174-120100424	3	5	8	0.375	47
1810055G02Rik	chr19:3716491-3717881	7	5	12	0.583333	104
1810058I24Rik	chr6:35261159-35262059	52	24	76	0.684211	210
2010012O05Rik	chr19:46701515-46703382	4	13	17	0.235294	28
2010107E04Rik	chr12:111963230-111963353	208	98	306	0.679739	822
2010107G23Rik	chr10:62107656-62109123	47	20	67	0.701493	128
2010315B03Rik	chr9:124291804-124294101	6	13	19	0.315789	19
2010320M18Rik	chr8:70776862-70777606	10	7	17	0.588235	26
2210013O21Rik	chrX:153723554-153723937	19	0	19	1	97
2210015D19Rik	chr11:5780206-5780635	20	25	45	0.444444	39
2210016F16Rik	chr13:58384824-58385225	15	40	55	0.272727	114
2210016L21Rik	chr5:114947682-114948540	23	20	43	0.534884	142
2210018M11Rik	chr7:98626466-98626720	17	26	43	0.395349	183
2210039B01Rik	chr12:73551156-73551986	106	15	121	0.876033	27
2210409E12Rik	chr11:88972638-88973014	234	26	260	0.9	243
2310003H01Rik	chr11:120373882-120374651	4	7	11	0.363636	79
2310009A05Rik	chr9:73042432-73042775	18	21	39	0.461538	14
2310011J03Rik	chr10:80320183-80320548	7	17	24	0.291667	78
2310022A10Rik	chr7:27580337-27582098	65	60	125	0.52	340
2310022B05Rik	chr8:124662848-124663369	149	39	188	0.792553	209
2310033P09Rik	chr11:59210227-59210734	14	7	21	0.666667	71
2310035C23Rik	chr1:105753503-105755131	6	9	15	0.4	177
2310039H08Rik	chr17:46772635-46773407	14	4	18	0.777778	34
2310057M21Rik	chr7:131361733-131361936	13	8	21	0.619048	81
2310067B10Rik	chr11:115798275-115799033	40	53	93	0.430108	311
2410002F23Rik	chr7:44250613-44252319	98	100	198	0.494949	398
2410003L11Rik	chr11:97622607-97622893	10	40	50	0.2	56
2410004N09Rik	chr18:33795853-33795989	129	145	274	0.470803	152
2410006H16Rik	chr11:62604655-62604806	397	455	852	0.465962	1086
2410007B07Rik	chr3:75655390-75655731	10	78	88	0.113636	127
2410015M20Rik	chr17:56608638-56608692	59	34	93	0.634409	215
2410016O06Rik	chr12:83950608-83952953	52	41	93	0.55914	232
2410021H03Rik	chr17:69275362-69275906	7	3	10	0.7	22
2410088K16Rik	chr1:88755534-88755733	14	5	19	0.736842	20
2410089E03Rik	chr15:8262928-8263080	19	34	53	0.358491	180
2410127L17Rik	chr19:18691417-18691595	80	63	143	0.559441	506
2410131K14Rik	chr5:118261100-118263114	2	10	12	0.166667	46
2410137M14Rik	chr17:36978651-36978933	0	10	10	0	41
2510002D24Rik	chr16:18839090-18840113	26	37	63	0.412698	74
2510003E04Rik	chr10:62558470-62559883	20	18	38	0.526316	161
2510039O18Rik	chr4:147946601-147947314	77	77	154	0.5	285
2610001J05Rik	chr6:13869074-13870740	44	67	111	0.396396	115
2610002J02Rik	chr4:155256135-155256687	16	6	22	0.727273	51
2610002M06Rik	chrX:107790736-107790779	5	13	18	0.277778	122
2610015P09Rik	chr16:43960018-43960163	6	11	17	0.352941	80
2610020H08Rik	chr7:119825536-119825638	8	15	23	0.347826	83
2610301B20Rik	chr4:10897899-10899423	49	51	100	0.49	143
2610305D13Rik	chr4:147615280-147615406	96	25	121	0.793388	1137
2610318N02Rik	chr16:17113398-17113626	6	5	11	0.545455	213
2610507B11Rik	chr11:78289804-78290625	236	228	464	0.508621	1767
2610524H06Rik	chr5:114823313-114823468	30	100	130	0.230769	114
2700029M09Rik	chr8:60905548-60905720	90	82	172	0.523256	403
2700038G22Rik	chr5:23853767-23855033	3	48	51	0.0588235	42
2700049A03Rik	chr12:71242944-71243303	119	61	180	0.661111	325
2700060E02Rik	chr14:19822566-19822690	207	253	460	0.45	1920
2700062C07Rik	chr18:24477269-24477767	18	17	35	0.514286	100
2700097O09Rik	chr12:55079981-55080110	16	6	22	0.727273	174
2700099C18Rik	chr17:94774892-94775129	10	19	29	0.344828	76
2810004N23Rik	chr8:124860946-124861271	382	193	575	0.664348	621
