gene	coord	273minus3_CAST	273minus3_129S1	273minus3_total	273minus3_CAST/all	273minus3_htseqCount
0610007P14Rik	chr12:85824471-85824545	345	203	548	0.629562	948
0610009B22Rik	chr11:51685385-51686092	10	11	21	0.47619	191
0610009O20Rik	chr18:38261880-38262629	137	106	243	0.563786	254
0610010F05Rik	chr11:23617138-23617196	10	11	21	0.47619	145
0610030E20Rik	chr6:72348997-72353160	10	10	20	0.5	104
0610031J06Rik	chr3:88328203-88328631	21	25	46	0.456522	231
0610037L13Rik	chr4:107896871-107897802	49	43	92	0.532609	253
0610039K10Rik	chr2:163644850-163645800	7	5	12	0.583333	4
1110001J03Rik	chr6:38539159-38539449	35	34	69	0.507246	117
1110002L01Rik	chr12:3403883-3406711	10	18	28	0.357143	148
1110004E09Rik	chr16:90934582-90934849	35	32	67	0.522388	224
1110004F10Rik	chr7:116104212-116105210	59	74	133	0.443609	675
1110007C09Rik	chr13:49208004-49208146	16	19	35	0.457143	98
1110008F13Rik	chr2:156873043-156873562	36	36	72	0.5	446
1110008L16Rik	chr12:55382257-55382491	169	49	218	0.775229	449
1110012L19Rik	chrX:70388872-70389416	73	41	114	0.640351	244
1110034G24Rik	chr2:132750213-132751055	34	62	96	0.354167	76
1110037F02Rik	chr4:11549545-11551143	106	78	184	0.576087	383
1110038B12Rik	chr17:34952352-34952471	202	283	485	0.416495	340
1110038F14Rik	chr15:76950249-76950731	79	47	126	0.626984	107
1110051M20Rik	chr2:91277828-91278957	13	7	20	0.65	65
1110057K04Rik	chr12:8283900-8285759	55	37	92	0.597826	211
1110058L19Rik	chr1:24003157-24003306	61	20	81	0.753086	126
1110059E24Rik	chr19:21597313-21598334	36	13	49	0.734694	364
1190002N15Rik	chr9:94537219-94538081	57	56	113	0.504425	277
1190005I06Rik	chr8:120608602-120609030	11	7	18	0.611111	48
1190007I07Rik	chr10:82622965-82623228	19	23	42	0.452381	98
1300002E11Rik	chr16:21808678-21809039	7	2	9	0.777778	35
1500004A13Rik	chr3:88822010-88825414	19	1	20	0.95	56
1500009L16Rik	chr10:83761918-83762762	26	21	47	0.553191	64
1500011B03Rik	chr5:114813780-114813976	38	34	72	0.527778	139
1500012F01Rik	chr2:167065434-167065480	157	98	255	0.615686	630
1500015A07Rik	chr18:61726390-61728253	10	5	15	0.666667	48
1600002H07Rik	chr17:24220691-24220769	22	48	70	0.314286	169
1600012H06Rik	chr17:14943184-14945939	14	12	26	0.538462	247
1700001L05Rik	chr15:83353847-83358950	0	10	10	0	207
1700007K13Rik	chr2:28466034-28466324	8	4	12	0.666667	63
1700013H16Rik	chrX:53751510-53751856	67	17	84	0.797619	174
1700017B05Rik	chr9:57256386-57259140	10	11	21	0.47619	123
1700019D03Rik	chr1:52952615-52952840	6	64	70	0.0857143	80
1700019L03Rik	chr2:32777413-32777569	5	3	8	0.625	17
1700020I14Rik	chr2:119599588-119600744	10	11	21	0.47619	163
1700021F05Rik	chr10:43532676-43533157	112	98	210	0.533333	248
1700021K19Rik	chr16:32844547-32844706	11	16	27	0.407407	132
1700025G04Rik	chr1:151884524-151893432	8	3	11	0.727273	107
1700028K03Rik	chr5:107549085-107551542	7	5	12	0.583333	47
1700029P11Rik	chr15:81980540-81981563	30	57	87	0.344828	220
1700030C10Rik	chr12:20815346-20815779	19	5	24	0.791667	37
1700030K09Rik	chr8:72460029-72460541	63	27	90	0.7	149
1700037H04Rik	chr2:131146325-131146975	105	75	180	0.583333	507
1700052N19Rik	chr10:4453472-4455140	113	91	204	0.553922	260
1700061G19Rik	chr17:56886441-56886687	25	18	43	0.581395	146
1700066M21Rik	chr1:57382743-57385422	4	14	18	0.222222	98
1700095A21Rik	chr4:146519039-146519927	25	0	25	1	10
1700120C14Rik	chr15:99251788-99252001	8	10	18	0.444444	0
1700123O20Rik	chr14:54689804-54690742	42	38	80	0.525	183
1810009A15Rik	chr19:8890411-8890759	133	145	278	0.478417	30
1810013L24Rik	chr16:8855794-8858924	12	13	25	0.48	289
1810026B05Rik	chr7:73549597-73549652	9	17	26	0.346154	91
1810026J23Rik	chr9:21593150-21595970	7	10	17	0.411765	106
1810030O07Rik	chrX:12662650-12662829	21	79	100	0.21	210
1810032O08Rik	chr11:116674300-116675798	66	65	131	0.503817	133
1810037I17Rik	chr3:122925479-122926194	131	166	297	0.441077	652
1810043H04Rik	chr11:120100174-120100424	15	13	28	0.535714	79
1810055G02Rik	chr19:3716491-3717881	22	24	46	0.478261	134
1810058I24Rik	chr6:35261159-35262059	29	30	59	0.491525	212
2010107E04Rik	chr12:111963230-111963353	346	195	541	0.639556	1401
2010107G23Rik	chr10:62107656-62109123	47	14	61	0.770492	113
2010315B03Rik	chr9:124291804-124294101	0	15	15	0	22
