gene	coord	273plus3_CAST	273plus3_129S1	273plus3_total	273plus3_CAST/all	273plus3_htseqCount
0610007P14Rik	chr12:85824471-85824545	360	172	532	0.676692	1127
0610009B22Rik	chr11:51685385-51686092	20	14	34	0.588235	199
0610009O20Rik	chr18:38261880-38262629	152	130	282	0.539007	410
0610010F05Rik	chr11:23628873-23629031	11	18	29	0.37931	221
0610030E20Rik	chr6:72348997-72353160	22	28	50	0.44	188
0610031J06Rik	chr3:88328203-88328631	46	33	79	0.582278	401
0610037L13Rik	chr4:107896871-107897802	52	55	107	0.485981	286
0610039K10Rik	chr2:163644850-163645800	14	6	20	0.7	4
0610040F04Rik	chr6:108623041-108623167	18	6	24	0.75	89
1110001J03Rik	chr6:38539159-38539449	48	41	89	0.539326	153
1110002L01Rik	chr12:3403883-3406711	2	17	19	0.105263	188
1110004E09Rik	chr16:90934582-90934849	42	41	83	0.506024	351
1110004F10Rik	chr7:116104212-116105210	61	59	120	0.508333	864
1110007C09Rik	chr13:49208004-49208146	15	2	17	0.882353	85
1110008F13Rik	chr2:156873043-156873562	49	62	111	0.441441	598
1110008L16Rik	chr12:55382257-55382491	133	39	172	0.773256	487
1110012L19Rik	chrX:70388872-70389416	83	82	165	0.50303	313
1110034G24Rik	chr2:132750213-132751055	42	41	83	0.506024	101
1110037F02Rik	chr4:11549545-11551143	171	141	312	0.548077	615
1110038B12Rik	chr17:34952352-34952471	178	241	419	0.424821	346
1110038F14Rik	chr15:76950249-76950731	108	90	198	0.545455	167
1110051M20Rik	chr2:91304749-91304833	15	19	34	0.441176	97
1110057K04Rik	chr12:8283900-8285759	59	40	99	0.59596	296
1110058L19Rik	chr1:24003157-24003306	62	27	89	0.696629	125
1110059E24Rik	chr19:21597313-21598334	21	10	31	0.677419	368
1110059G10Rik	chr9:122950805-122951000	4	8	12	0.333333	76
1190002N15Rik	chr9:94517864-94520646	74	70	144	0.513889	314
1190005I06Rik	chr8:120611194-120611337	15	13	28	0.535714	56
1190007I07Rik	chr10:82622965-82623228	32	39	71	0.450704	155
1500004A13Rik	chr3:88822010-88825414	21	0	21	1	79
1500009L16Rik	chr10:83761918-83762762	17	23	40	0.425	98
