gene	coord	228plus1_CAST	228plus1_129S1	228plus1_total	228plus1_CAST/all	228plus1_htseqCount
0610007P14Rik	chr12:85824471-85824545	405	238	643	0.62986	1242
0610009B22Rik	chr11:51685385-51686092	11	12	23	0.478261	175
0610009O20Rik	chr18:38261880-38262629	187	142	329	0.568389	466
0610010F05Rik	chr11:23631205-23631334	14	13	27	0.518519	147
0610030E20Rik	chr6:72348997-72353160	21	29	50	0.42	196
0610031J06Rik	chr3:88328203-88328631	29	36	65	0.446154	351
0610037L13Rik	chr4:107896871-107897802	60	43	103	0.582524	293
0610039K10Rik	chr2:163644850-163645800	17	5	22	0.772727	11
1110001J03Rik	chr6:38539159-38539449	32	31	63	0.507937	160
1110002L01Rik	chr12:3403883-3406711	4	7	11	0.363636	84
1110004E09Rik	chr16:90934582-90934849	46	43	89	0.516854	334
1110004F10Rik	chr7:116104212-116105210	62	65	127	0.488189	750
1110007C09Rik	chr13:49208004-49208146	15	22	37	0.405405	214
1110008F13Rik	chr2:156873043-156873562	31	27	58	0.534483	393
1110008L16Rik	chr12:55382257-55382491	124	28	152	0.815789	411
1110012L19Rik	chrX:70388872-70389416	99	80	179	0.553073	300
1110034G24Rik	chr2:132750213-132751055	30	57	87	0.344828	93
1110037F02Rik	chr4:11549545-11551143	63	68	131	0.480916	359
1110038B12Rik	chr17:34952352-34952471	735	614	1349	0.544848	937
1110038F14Rik	chr15:76950249-76950731	98	69	167	0.586826	128
1110057K04Rik	chr12:8283900-8285759	28	19	47	0.595745	148
1110058L19Rik	chr1:24003157-24003306	58	15	73	0.794521	80
1110059E24Rik	chr19:21597313-21598334	34	15	49	0.693878	351
1110059G10Rik	chr9:122950805-122951000	3	5	8	0.375	94
1190002N15Rik	chr9:94517864-94520646	35	47	82	0.426829	274
1190005I06Rik	chr8:120611194-120611337	15	15	30	0.5	55
1190007I07Rik	chr10:82622965-82623228	28	40	68	0.411765	158
1500004A13Rik	chr3:88822010-88825414	13	0	13	1	48
1500009L16Rik	chr10:83761918-83762762	32	51	83	0.385542	173
1500011B03Rik	chr5:114813780-114813976	38	32	70	0.542857	154
1500012F01Rik	chr2:167065434-167065480	324	234	558	0.580645	1797
1500015A07Rik	chr18:61726390-61728253	8	3	11	0.727273	89
1600002H07Rik	chr17:24220691-24220769	37	71	108	0.342593	234
1600014C10Rik	chr7:38194785-38197565	17	12	29	0.586207	51
1700007K13Rik	chr2:28466034-28466324	5	19	24	0.208333	106
1700007P06Rik	chr1:187127562-187127852	7	7	14	0.5	5
1700013H16Rik	chrX:53751510-53751856	64	25	89	0.719101	215
1700019B21Rik	chrX:62510539-62510998	8	6	14	0.571429	23
1700019D03Rik	chr1:52952615-52952840	8	129	137	0.0583942	193
1700020I14Rik	chr2:119599588-119600744	17	16	33	0.515152	260
1700021F05Rik	chr10:43532676-43533157	64	57	121	0.528926	222
1700021K19Rik	chr16:32844547-32844706	17	23	40	0.425	146
1700025G04Rik	chr1:152006545-152006767	43	34	77	0.558442	168
1700026D08Rik	chr7:83794742-83794839	15	3	18	0.833333	45
1700028K03Rik	chr5:107549085-107551542	8	7	15	0.533333	34
1700029P11Rik	chr15:81980540-81981563	23	43	66	0.348485	173
1700030C10Rik	chr12:20815346-20815779	39	3	42	0.928571	57
1700030K09Rik	chr8:72460029-72460541	106	42	148	0.716216	224
1700037H04Rik	chr2:131146325-131146975	133	85	218	0.610092	753
1700052N19Rik	chr10:4453472-4455140	124	113	237	0.523207	350
1700061G19Rik	chr17:56886441-56886687	17	20	37	0.459459	142
1700066M21Rik	chr1:57382743-57385422	4	9	13	0.307692	152
1700095A21Rik	chr4:146519039-146519927	22	0	22	1	21
1700120C14Rik	chr15:99251788-99252001	16	20	36	0.444444	0
1700123O20Rik	chr14:54689804-54690742	11	12	23	0.478261	175
1810009A15Rik	chr19:8890411-8890759	78	93	171	0.45614	38
1810013L24Rik	chr16:8855794-8858924	24	22	46	0.521739	499
1810026B05Rik	chr7:73549597-73549652	30	27	57	0.526316	252
1810026J23Rik	chr9:21593150-21595970	3	6	9	0.333333	149
1810030O07Rik	chrX:12669527-12669646	24	60	84	0.285714	250
1810032O08Rik	chr11:116674300-116675798	116	109	225	0.515556	275
