gene	coord	228plus2_CAST	228plus2_129S1	228plus2_total	228plus2_CAST/all	228plus2_htseqCount
0610007P14Rik	chr12:85824471-85824545	313	169	482	0.649378	923
0610009B22Rik	chr11:51685385-51686092	8	10	18	0.444444	108
0610009O20Rik	chr18:38261880-38262629	142	124	266	0.533835	352
0610010F05Rik	chr11:23628873-23629031	2	8	10	0.2	112
0610030E20Rik	chr6:72348997-72353160	17	17	34	0.5	131
0610031J06Rik	chr3:88328203-88328631	26	24	50	0.52	239
0610037L13Rik	chr4:107896871-107897802	49	33	82	0.597561	228
0610039K10Rik	chr2:163644850-163645800	9	4	13	0.692308	7
1110001J03Rik	chr6:38539159-38539449	29	37	66	0.439394	108
1110004E09Rik	chr16:90934582-90934849	34	38	72	0.472222	233
1110004F10Rik	chr7:116104212-116105210	48	48	96	0.5	533
1110007C09Rik	chr13:49208004-49208146	15	7	22	0.681818	178
1110008F13Rik	chr2:156873043-156873562	21	32	53	0.396226	260
1110008L16Rik	chr12:55382257-55382491	122	47	169	0.721893	343
1110012L19Rik	chrX:70388872-70389416	63	40	103	0.61165	221
1110034G24Rik	chr2:132750213-132751055	27	51	78	0.346154	64
1110037F02Rik	chr4:11549545-11551143	58	54	112	0.517857	286
1110038B12Rik	chr17:34952352-34952471	515	422	937	0.549626	643
1110038F14Rik	chr15:76950249-76950731	84	39	123	0.682927	91
1110051M20Rik	chr2:91277828-91278957	6	11	17	0.352941	60
1110057K04Rik	chr12:8275808-8276223	22	9	31	0.709677	132
1110058L19Rik	chr1:24003157-24003306	54	15	69	0.782609	88
1110059E24Rik	chr19:21597313-21598334	22	11	33	0.666667	246
1190002N15Rik	chr9:94517864-94520646	32	37	69	0.463768	195
1190005I06Rik	chr8:120611194-120611337	18	13	31	0.580645	38
1190007I07Rik	chr10:82622965-82623228	25	37	62	0.403226	107
1500004A13Rik	chr3:88822010-88825414	11	0	11	1	55
1500009L16Rik	chr10:83761918-83762762	27	30	57	0.473684	95
1500011B03Rik	chr5:114813780-114813976	47	24	71	0.661972	91
1500012F01Rik	chr2:167065434-167065480	230	149	379	0.60686	1176
1600002H07Rik	chr17:24220691-24220769	33	54	87	0.37931	161
1600012H06Rik	chr17:14943184-14945939	7	9	16	0.4375	203
1600014C10Rik	chr7:38194785-38197565	8	7	15	0.533333	34
1700007K13Rik	chr2:28466034-28466324	10	13	23	0.434783	78
1700013H16Rik	chrX:53751510-53751856	42	18	60	0.7	142
1700019D03Rik	chr1:52952615-52952840	20	114	134	0.149254	131
1700019L03Rik	chr2:32777413-32777569	6	3	9	0.666667	24
1700020I14Rik	chr2:119599588-119600744	13	9	22	0.590909	210
1700021F05Rik	chr10:43532676-43533157	66	56	122	0.540984	149
1700025G04Rik	chr1:152006545-152006767	19	15	34	0.558824	99
1700026D08Rik	chr7:83791632-83791722	7	2	9	0.777778	27
1700028K03Rik	chr5:107549085-107551542	5	5	10	0.5	29
1700029P11Rik	chr15:81980540-81981563	17	31	48	0.354167	131
1700030C10Rik	chr12:20815346-20815779	30	1	31	0.967742	38
1700030K09Rik	chr8:72460029-72460541	45	23	68	0.661765	163
1700037H04Rik	chr2:131146325-131146975	122	60	182	0.67033	567
1700052N19Rik	chr10:4453472-4455140	70	82	152	0.460526	274
1700061G19Rik	chr17:56886441-56886687	20	20	40	0.5	119
1700066M21Rik	chr1:57382743-57385422	18	10	28	0.642857	102
1700120C14Rik	chr15:99251788-99252001	12	8	20	0.6	0
1700123O20Rik	chr14:54689804-54690742	9	6	15	0.6	133
1810009A15Rik	chr19:8890411-8890759	48	61	109	0.440367	10
1810013L24Rik	chr16:8855794-8858924	23	21	44	0.522727	289
1810026B05Rik	chr7:73549597-73549652	32	33	65	0.492308	177
1810030O07Rik	chrX:12669527-12669646	13	89	102	0.127451	198
1810032O08Rik	chr11:116674300-116675798	83	116	199	0.417085	187
1810037I17Rik	chr3:122925479-122926194	120	113	233	0.515021	492
1810043H04Rik	chr11:120100174-120100424	8	4	12	0.666667	58
1810055G02Rik	chr19:3716491-3717881	6	13	19	0.315789	83
1810058I24Rik	chr6:35261159-35262059	32	19	51	0.627451	204
2010107E04Rik	chr12:111963230-111963353	274	146	420	0.652381	1184
2010107G23Rik	chr10:62107656-62109123	60	21	81	0.740741	206
2010315B03Rik	chr9:124291804-124294101	0	27	27	0	19
2210013O21Rik	chrX:153723554-153723937	22	33	55	0.4	248
2210015D19Rik	chr11:5780206-5780635	12	21	33	0.363636	27
2210016F16Rik	chr13:58384824-58385225	4	25	29	0.137931	91
2210016L21Rik	chr5:114947682-114948540	40	27	67	0.597015	164
2210018M11Rik	chr7:98594752-98595312	24	48	72	0.333333	180
