gene	coord	228minus2_CAST	228minus2_129S1	228minus2_total	228minus2_CAST/all	228minus2_htseqCount
0610007P14Rik	chr12:85824471-85824545	107	80	187	0.572193	334
0610009B22Rik	chr11:51685385-51686092	4	4	8	0.5	46
0610009O20Rik	chr18:38261880-38262629	67	62	129	0.51938	162
0610030E20Rik	chr6:72348997-72353160	9	3	12	0.75	76
0610031J06Rik	chr3:88328203-88328631	9	11	20	0.45	152
0610037L13Rik	chr4:107892222-107892253	21	12	33	0.636364	85
1110001J03Rik	chr6:38539159-38539449	14	9	23	0.608696	32
1110004E09Rik	chr16:90934582-90934849	19	18	37	0.513514	84
1110004F10Rik	chr7:116104212-116105210	33	17	50	0.66	244
1110007C09Rik	chr13:49208004-49208146	6	15	21	0.285714	93
1110008F13Rik	chr2:156873043-156873562	9	10	19	0.473684	105
1110008L16Rik	chr12:55382257-55382491	51	6	57	0.894737	135
1110012L19Rik	chrX:70388872-70389416	33	8	41	0.804878	97
1110037F02Rik	chr4:11544831-11544997	6	7	13	0.461538	145
1110038B12Rik	chr17:34952352-34952471	327	243	570	0.573684	359
1110038F14Rik	chr15:76950249-76950731	25	24	49	0.510204	52
1110058L19Rik	chr1:24003157-24003306	9	4	13	0.692308	29
1110059E24Rik	chr19:21597313-21598334	10	6	16	0.625	98
1190002N15Rik	chr9:94517864-94520646	14	12	26	0.538462	113
1190007I07Rik	chr10:82619851-82620217	2	12	14	0.142857	52
1500009L16Rik	chr10:83761918-83762762	14	28	42	0.333333	50
1500011B03Rik	chr5:114813780-114813976	9	5	14	0.642857	34
1500012F01Rik	chr2:167065434-167065480	122	77	199	0.613065	527
1600002H07Rik	chr17:24219731-24220133	12	16	28	0.428571	75
1700007K13Rik	chr2:28466034-28466324	6	4	10	0.6	35
1700013H16Rik	chrX:53751510-53751856	16	6	22	0.727273	50
1700019D03Rik	chr1:52952615-52952840	7	42	49	0.142857	48
1700020I14Rik	chr2:119599588-119600744	10	3	13	0.769231	90
1700021F05Rik	chr10:43532676-43533157	21	23	44	0.477273	56
1700025G04Rik	chr1:151884524-151893432	5	3	8	0.625	64
1700030C10Rik	chr12:20815346-20815779	13	4	17	0.764706	27
1700037H04Rik	chr2:131146325-131146975	55	23	78	0.705128	319
1700048O20Rik	chr9:121945611-121947016	10	0	10	1	21
1700052N19Rik	chr10:4453472-4455140	26	34	60	0.433333	107
1700120C14Rik	chr15:99251788-99252001	4	6	10	0.4	2
1700123O20Rik	chr14:54689804-54690742	6	4	10	0.6	63
1700128F08Rik	chr9:8241268-8241987	14	18	32	0.4375	21
1810009A15Rik	chr19:8890411-8890759	23	28	51	0.45098	4
1810013L24Rik	chr16:8855794-8858924	11	10	21	0.52381	194
1810026B05Rik	chr7:73549597-73549652	9	20	29	0.310345	89
1810030O07Rik	chrX:12662650-12662829	11	67	78	0.141026	94
1810032O08Rik	chr11:116674300-116675798	45	63	108	0.416667	114
1810037I17Rik	chr3:122925479-122926194	56	80	136	0.411765	267
1810043H04Rik	chr11:120100174-120100424	5	8	13	0.384615	34
1810058I24Rik	chr6:35261159-35262059	13	11	24	0.541667	97
2010107E04Rik	chr12:111963230-111963353	138	47	185	0.745946	511
2010107G23Rik	chr10:62107656-62109123	14	1	15	0.933333	72
2010315B03Rik	chr9:124291804-124294101	8	45	53	0.150943	18
2210013O21Rik	chrX:153723554-153723937	9	15	24	0.375	101
2210016L21Rik	chr5:114947682-114948540	18	15	33	0.545455	88
2210018M11Rik	chr7:98594752-98595312	18	18	36	0.5	128
2210039B01Rik	chr12:73551156-73551986	38	21	59	0.644068	37
2210409E12Rik	chr11:88972638-88973014	75	12	87	0.862069	72
2310022A10Rik	chr7:27580337-27582098	34	38	72	0.472222	224
2310022B05Rik	chr8:124662848-124663369	96	48	144	0.666667	191
