gene	coord	273minus1_CAST	273minus1_129S1	273minus1_total	273minus1_CAST/all	273minus1_htseqCount
0610007P14Rik	chr12:85824471-85824545	365	218	583	0.626072	1271
0610009B22Rik	chr11:51685385-51686092	14	19	33	0.424242	216
0610009O20Rik	chr18:38261880-38262629	130	117	247	0.526316	354
0610010F05Rik	chr11:23620229-23620467	15	23	38	0.394737	230
0610030E20Rik	chr6:72348997-72353160	22	30	52	0.423077	165
0610031J06Rik	chr3:88328203-88328631	32	22	54	0.592593	320
0610037L13Rik	chr4:107896871-107897802	42	45	87	0.482759	316
0610039K10Rik	chr2:163644850-163645800	14	4	18	0.777778	5
1110001J03Rik	chr6:38539159-38539449	38	56	94	0.404255	156
1110002L01Rik	chr12:3407701-3407924	4	22	26	0.153846	177
1110004E09Rik	chr16:90934582-90934849	64	40	104	0.615385	351
1110004F10Rik	chr7:116104212-116105210	83	77	160	0.51875	864
1110007C09Rik	chr13:49208004-49208146	19	14	33	0.575758	171
1110008F13Rik	chr2:156873043-156873562	43	55	98	0.438776	540
1110008L16Rik	chr12:55382257-55382491	147	38	185	0.794595	568
1110012L19Rik	chrX:70388872-70389416	88	72	160	0.55	379
1110034G24Rik	chr2:132750213-132751055	34	51	85	0.4	112
1110037F02Rik	chr4:11549545-11551143	140	141	281	0.498221	605
1110038B12Rik	chr17:34952352-34952471	379	402	781	0.485275	579
1110038F14Rik	chr15:76950249-76950731	85	54	139	0.611511	122
1110051M20Rik	chr2:91279190-91279253	6	5	11	0.545455	95
1110057K04Rik	chr12:8283900-8285759	32	23	55	0.581818	200
1110058L19Rik	chr1:24003157-24003306	80	22	102	0.784314	133
1110059E24Rik	chr19:21597313-21598334	25	19	44	0.568182	495
1110059G10Rik	chr9:122950805-122951000	4	4	8	0.5	85
1190002N15Rik	chr9:94537219-94538081	91	108	199	0.457286	423
1190005I06Rik	chr8:120611194-120611337	13	11	24	0.541667	52
1190007I07Rik	chr10:82622965-82623228	26	32	58	0.448276	129
1500009L16Rik	chr10:83761918-83762762	28	35	63	0.444444	141
1500011B03Rik	chr5:114813780-114813976	34	37	71	0.478873	150
1500012F01Rik	chr2:167065434-167065480	190	145	335	0.567164	1149
1500015A07Rik	chr18:61726390-61728253	9	8	17	0.529412	64
1600002H07Rik	chr17:24220691-24220769	28	50	78	0.358974	210
1600012H06Rik	chr17:14943184-14945939	8	15	23	0.347826	312
1600014C10Rik	chr7:38194785-38197565	12	18	30	0.4	64
1600020E01Rik	chr6:86564276-86564449	8	5	13	0.615385	24
1700001L05Rik	chr15:83353847-83358950	5	9	14	0.357143	319
1700007K13Rik	chr2:28466034-28466324	5	9	14	0.357143	84
1700007P06Rik	chr1:187127562-187127852	7	7	14	0.5	5
1700013H16Rik	chrX:53751510-53751856	53	18	71	0.746479	195
1700017B05Rik	chr9:57256386-57259140	26	14	40	0.65	153
1700019D03Rik	chr1:52952615-52952840	23	126	149	0.154362	164
1700020I14Rik	chr2:119599588-119600744	20	19	39	0.512821	334
1700021F05Rik	chr10:43532676-43533157	77	76	153	0.503268	229
1700021K19Rik	chr16:32856892-32857045	26	17	43	0.604651	187
1700025G04Rik	chr1:151884524-151893432	38	23	61	0.622951	187
1700028K03Rik	chr5:107549085-107551542	7	7	14	0.5	51
1700029P11Rik	chr15:81980540-81981563	24	48	72	0.333333	219
1700030C10Rik	chr12:20815346-20815779	41	37	78	0.525641	55
1700030K09Rik	chr8:72460029-72460541	95	40	135	0.703704	237
1700037H04Rik	chr2:131146325-131146975	108	75	183	0.590164	741
1700052N19Rik	chr10:4453472-4455140	108	116	224	0.482143	356
1700061G19Rik	chr17:56886441-56886687	25	17	42	0.595238	136
1700066M21Rik	chr1:57382743-57385422	9	22	31	0.290323	181
1700095A21Rik	chr4:146519039-146519927	23	0	23	1	30
1700120C14Rik	chr15:99251788-99252001	21	27	48	0.4375	0
1700123O20Rik	chr14:54689804-54690742	32	46	78	0.410256	238
1810009A15Rik	chr19:8890411-8890759	122	138	260	0.469231	52
1810013L24Rik	chr16:8855794-8858924	34	39	73	0.465753	483
1810026B05Rik	chr7:73549597-73549652	16	30	46	0.347826	170
1810026J23Rik	chr9:21593150-21595970	42	24	66	0.636364	172
1810030O07Rik	chrX:12669527-12669646	7	61	68	0.102941	263
1810032O08Rik	chr11:116674300-116675798	62	76	138	0.449275	178
1810037I17Rik	chr3:122925479-122926194	156	207	363	0.429752	844
1810043H04Rik	chr11:120100174-120100424	9	11	20	0.45	103
1810055G02Rik	chr19:3716491-3717881	17	26	43	0.395349	173
1810058I24Rik	chr6:35261159-35262059	41	28	69	0.594203	283
2010012O05Rik	chr19:46701515-46703382	5	9	14	0.357143	40
2010107E04Rik	chr12:111963230-111963353	351	162	513	0.684211	1529
2010107G23Rik	chr10:62107656-62109123	46	22	68	0.676471	189
2010315B03Rik	chr9:124291804-124294101	3	17	20	0.15	57
2010320M18Rik	chr8:70776862-70777606	11	3	14	0.785714	42
2200002D01Rik	chr7:29247897-29247965	2	14	16	0.125	35
2210011C24Rik	chr8:84011141-84011720	13	8	21	0.619048	74
2210013O21Rik	chrX:153723554-153723937	13	11	24	0.541667	203
2210015D19Rik	chr11:5780206-5780635	14	47	61	0.229508	48
2210016F16Rik	chr13:58384824-58385225	9	66	75	0.12	197
2210016L21Rik	chr5:114947682-114948540	40	35	75	0.533333	306
2210018M11Rik	chr7:98626466-98626720	26	37	63	0.412698	317
2210039B01Rik	chr12:73551156-73551986	65	11	76	0.855263	31
2210409E12Rik	chr11:88972638-88973014	174	40	214	0.813084	245
2310009A05Rik	chr9:73042432-73042775	34	45	79	0.43038	44
2310011J03Rik	chr10:80320183-80320548	10	17	27	0.37037	106
2310022A10Rik	chr7:27580337-27582098	62	59	121	0.512397	364
2310022B05Rik	chr8:124662848-124663369	301	111	412	0.730583	433
2310033P09Rik	chr11:59210227-59210734	4	12	16	0.25	86
2310035C23Rik	chr1:105753503-105755131	11	10	21	0.52381	251
2310039H08Rik	chr17:46772635-46773407	18	17	35	0.514286	64
2310045N01Rik	chr8:70145811-70145890	7	2	9	0.777778	83
2310047M10Rik	chr11:69059775-69061576	4	6	10	0.4	78
2310061J03Rik	chr16:55973268-55974617	15	5	20	0.75	23
2310067B10Rik	chr11:115798275-115799033	35	46	81	0.432099	314
2410002F23Rik	chr7:44250613-44252319	59	104	163	0.361963	383
2410003L11Rik	chr11:97622607-97622893	18	44	62	0.290323	78
2410004N09Rik	chr18:33795853-33795989	217	217	434	0.5	298
2410006H16Rik	chr11:62604655-62604806	531	608	1139	0.466198	1611
2410007B07Rik	chr3:75655390-75655731	15	127	142	0.105634	312
2410012M07Rik	chr9:98864767-98866580	4	4	8	0.5	72
2410015M20Rik	chr17:56608638-56608692	69	46	115	0.6	418
2410016O06Rik	chr12:83950608-83952953	67	23	90	0.744444	287
2410021H03Rik	chr17:69276126-69276195	23	3	26	0.884615	38
2410088K16Rik	chr1:88755534-88755733	38	14	52	0.730769	41
2410089E03Rik	chr15:8269619-8269797	38	17	55	0.690909	218
2410127L17Rik	chr19:18691417-18691595	80	81	161	0.496894	818
2410131K14Rik	chr5:118258976-118259127	6	8	14	0.428571	68
2410137M14Rik	chr17:36978651-36978933	2	14	16	0.125	62
2510002D24Rik	chr16:18839090-18840113	39	70	109	0.357798	106
2510003E04Rik	chr10:62558470-62559883	19	19	38	0.5	194
2510039O18Rik	chr4:147946601-147947314	85	75	160	0.53125	377
2610001J05Rik	chr6:13869074-13870740	91	119	210	0.433333	277
2610002J02Rik	chr4:155256135-155256687	29	26	55	0.527273	71
2610002M06Rik	chrX:107790736-107790779	5	5	10	0.5	179
2610015P09Rik	chr16:43960018-43960163	5	10	15	0.333333	84
2610020H08Rik	chr7:119825536-119825638	9	10	19	0.473684	68
2610044O15Rik8	chr8:129216354-129217749	3	5	8	0.375	92
2610301B20Rik	chr4:10897899-10899423	78	72	150	0.52	264
2610305D13Rik	chr4:147615280-147615406	161	38	199	0.809045	2711
2610318N02Rik	chr16:17123512-17123654	6	9	15	0.4	265
2610507B11Rik	chr11:78289804-78290625	287	271	558	0.514337	2386
2610524H06Rik	chr5:114823313-114823468	56	148	204	0.27451	210
2700029M09Rik	chr8:60905548-60905720	316	128	444	0.711712	1250
2700038G22Rik	chr5:23853767-23855033	17	140	157	0.10828	71
2700049A03Rik	chr12:71242944-71243303	103	69	172	0.598837	356
2700060E02Rik	chr14:19822566-19822690	268	310	578	0.463668	2681
2700062C07Rik	chr18:24477269-24477767	13	18	31	0.419355	96
2700097O09Rik	chr12:55079981-55080110	22	13	35	0.628571	401
2700099C18Rik	chr17:94774892-94775129	10	13	23	0.434783	82
2810004N23Rik	chr8:124860946-124861271	396	228	624	0.634615	805
2810006K23Rik	chr5:124340609-124341852	3	5	8	0.375	131
2810008D09Rik	chr11:117078776-117078955	75	120	195	0.384615	129
2810013P06Rik	chr8:123042575-123044602	20	12	32	0.625	125
2810025M15Rik	chr1:157419869-157420236	131	144	275	0.476364	571
2810403A07Rik	chr3:88711630-88712933	35	40	75	0.466667	526
2810408A11Rik	chr11:69899517-69899588	5	7	12	0.416667	51
2810408I11Rik	chr1:64690464-64690659	14	29	43	0.325581	97
2810408M09Rik	chr2:165490112-165491711	27	28	55	0.490909	78
2810417H13Rik	chr9:65901558-65903551	44	88	132	0.333333	473
2810428I15Rik	chr8:70506662-70506739	28	22	50	0.56	349
2810474O19Rik	chr6:149334592-149335663	43	49	92	0.467391	652
2900041M22Rik	chr11:117612262-117613417	12	24	36	0.333333	40
2900076A07Rik	chr7:81531211-81531498	23	12	35	0.657143	33
2900097C17Rik	chr2:156388063-156392979	27	35	62	0.435484	1034
3010026O09Rik	chr11:50199536-50200115	16	12	28	0.571429	112
3110002H16Rik	chr18:12188560-12188637	10	22	32	0.3125	245
3110021N24Rik	chr4:108727456-108727545	16	13	29	0.551724	17
3110040N11Rik	chr7:81789355-81789453	160	68	228	0.701754	240
3110043O21Rik	chr4:35218414-35218916	39	36	75	0.52	254
3110082I17Rik	chr5:139460469-139460534	215	172	387	0.555556	310
3632451O06Rik	chr14:49772862-49774239	58	56	114	0.508772	193
3830406C13Rik	chr14:12301148-12303231	7	10	17	0.411765	95
4833420G17Rik	chr13:119485727-119486117	169	82	251	0.673307	281
4833439L19Rik	chr13:54565182-54565382	138	209	347	0.397695	540
4921524J17Rik	chr8:85408759-85409890	35	21	56	0.625	450
4930404N11Rik	chr10:81364742-81364980	24	7	31	0.774194	55
4930414L22Rik	chr6:72438683-72440615	55	52	107	0.514019	100
4930427A07Rik	chr12:113163053-113165458	147	91	238	0.617647	384
4930430F08Rik	chr10:100589027-100589259	14	5	19	0.736842	224
4930444M15Rik	chr14:76515878-76516352	8	13	21	0.380952	25
4930447C04Rik	chr12:72916674-72916730	8	26	34	0.235294	134
4930452B06Rik	chr14:8662259-8662348	21	14	35	0.6	167
